rate_date;currency;rate_to_rub
2024-05-30;CNY;12.7669
2024-05-31;USD;88.8463
2024-05-31;CNY;12.8151
2024-06-03;USD;89.0793
2024-06-03;CNY;12.7011
2024-06-04;USD;88.7564
2024-06-04;CNY;12.7829
2024-06-05;USD;89.0956
2024-06-05;CNY;12.8515
2024-06-06;USD;88.5249
2024-06-06;CNY;12.9234
2024-06-07;USD;89.2613
2024-06-07;CNY;12.9602
2024-06-10;USD;88.8444
2024-06-10;CNY;13.1218
2024-06-11;USD;88.7093
2024-06-11;CNY;13.2295
2024-06-12;USD;88.598
2024-06-12;CNY;13.3027
2024-06-13;USD;88.3471
2024-06-13;CNY;13.1839
2024-06-14;USD;88.337
2024-06-14;CNY;13.0698
2024-06-17;USD;89.2267
2024-06-17;CNY;13.1604
2024-06-18;USD;89.8527
2024-06-18;CNY;13.1564
2024-06-19;USD;89.8647
2024-06-19;CNY;13.2597
2024-06-20;USD;89.251
2024-06-20;CNY;13.3016
2024-06-21;USD;89.9363
2024-06-21;CNY;13.3701
2024-06-24;USD;90.0619
2024-06-24;CNY;13.2716
2024-06-25;USD;89.7851
2024-06-25;CNY;13.1552
2024-06-26;USD;90.5128
2024-06-26;CNY;13.0413
2024-06-27;USD;91.2422
2024-06-27;CNY;13.0858
2024-06-28;USD;90.3759
2024-06-28;CNY;13.064
2024-07-01;USD;90.2493
2024-07-01;CNY;13.2337
2024-07-02;USD;89.5276
2024-07-02;CNY;13.168
2024-07-03;USD;89.0162
2024-07-03;CNY;13.1445
2024-07-04;USD;88.5939
2024-07-04;CNY;13.1406
2024-07-05;USD;87.9029
2024-07-05;CNY;13.2603
2024-07-08;USD;87.4084
2024-07-08;CNY;13.3162
2024-07-09;USD;87.5898
2024-07-09;CNY;13.2398
2024-07-10;USD;87.9191
2024-07-10;CNY;13.3059
2024-07-11;USD;88.1759
2024-07-11;CNY;13.3515
2024-07-12;USD;88.4534
2024-07-12;CNY;13.4632
2024-07-15;USD;88.8106
2024-07-15;CNY;13.467
2024-07-16;USD;88.9759
2024-07-16;CNY;13.5791
2024-07-17;USD;89.1356
2024-07-17;CNY;13.4957
2024-07-18;USD;89.263
2024-07-18;CNY;13.578
2024-07-19;USD;90.0192
2024-07-19;CNY;13.4835
2024-07-22;USD;92.1315
2024-07-22;CNY;13.5272
2024-07-23;USD;92.7012
2024-07-23;CNY;13.5608
2024-07-24;USD;92.4313
2024-07-24;CNY;13.5374
2024-07-25;USD;92.915
2024-07-25;CNY;13.6266
2024-07-26;USD;93.6506
2024-07-26;CNY;13.7401
2024-07-29;USD;92.7414
2024-07-29;CNY;13.9142
2024-07-30;USD;93.2164
2024-07-30;CNY;13.9778
2024-07-31;USD;93.3729
2024-07-31;CNY;13.9897
2024-08-01;USD;93.7312
2024-08-01;CNY;13.9591
2024-08-02;USD;93.76
2024-08-02;CNY;13.9871
2024-08-05;USD;92.031
2024-08-05;CNY;13.8593
2024-08-06;USD;91.4109
2024-08-06;CNY;13.8727
2024-08-07;USD;91.9608
2024-08-07;CNY;13.7603
2024-08-08;USD;92.4581
2024-08-08;CNY;13.8704
2024-08-09;USD;92.7566
2024-08-09;CNY;13.7923
2024-08-12;USD;92.3971
2024-08-12;CNY;13.7329
2024-08-13;USD;91.7013
2024-08-13;CNY;13.6875
2024-08-14;USD;92.1301
2024-08-14;CNY;13.6436
2024-08-15;USD;91.4504
2024-08-15;CNY;13.72
2024-08-16;USD;92.0119
2024-08-16;CNY;13.7091
2024-08-19;USD;93.0336
2024-08-19;CNY;13.7342
2024-08-20;USD;92.54
2024-08-20;CNY;13.6995
2024-08-21;USD;93.4677
2024-08-21;CNY;13.689
2024-08-22;USD;94.3864
2024-08-22;CNY;13.6112
2024-08-23;USD;93.9732
2024-08-23;CNY;13.5789
2024-08-26;USD;95.0438
2024-08-26;CNY;13.3257
2024-08-27;USD;95.1832
2024-08-27;CNY;13.4036
2024-08-28;USD;95.8569
2024-08-28;CNY;13.3389
2024-08-29;USD;96.0826
2024-08-29;CNY;13.2947
2024-08-30;USD;95.2444
2024-08-30;CNY;13.3822
2024-09-02;USD;95.9543
2024-09-02;CNY;13.2842
2024-09-03;USD;95.8148
2024-09-03;CNY;13.2128
2024-09-04;USD;95.6608
2024-09-04;CNY;13.2504
2024-09-05;USD;95.4244
2024-09-05;CNY;13.1621
2024-09-06;USD;95.4173
2024-09-06;CNY;13.1493
2024-09-09;USD;97.3452
2024-09-09;CNY;13.2235
2024-09-10;USD;97.8878
2024-09-10;CNY;13.2087
2024-09-11;USD;98.5435
2024-09-11;CNY;13.1184
2024-09-12;USD;97.9197
2024-09-12;CNY;13.2292
2024-09-13;USD;97.7338
2024-09-13;CNY;13.209
2024-09-16;USD;96.9655
2024-09-16;CNY;13.2895
2024-09-17;USD;97.7832
2024-09-17;CNY;13.3384
2024-09-18;USD;96.8886
2024-09-18;CNY;13.3624
2024-09-19;USD;96.0279
2024-09-19;CNY;13.451
2024-09-20;USD;95.7837
2024-09-20;CNY;13.4776
2024-09-23;USD;96.0281
2024-09-23;CNY;13.2306
2024-09-24;USD;96.4931
2024-09-24;CNY;13.2375
2024-09-25;USD;96.3918
2024-09-25;CNY;13.1982
2024-09-26;USD;97.0805
2024-09-26;CNY;13.2875
2024-09-27;USD;98.0062
2024-09-27;CNY;13.2905
2024-09-30;USD;98.3543
2024-09-30;CNY;13.2638
2024-10-01;USD;98.1407
2024-10-01;CNY;13.3909
2024-10-02;USD;98.1507
2024-10-02;CNY;13.3973
2024-10-03;USD;98.2563
2024-10-03;CNY;13.5063
2024-10-04;USD;98.4651
2024-10-04;CNY;13.5999
2024-10-07;USD;98.9127
2024-10-07;CNY;13.4255
2024-10-08;USD;98.1014
2024-10-08;CNY;13.3846
2024-10-09;USD;98.0469
2024-10-09;CNY;13.3259
2024-10-10;USD;97.7859
2024-10-10;CNY;13.4363
2024-10-11;USD;96.922
2024-10-11;CNY;13.4865
2024-10-14;USD;96.6681
2024-10-14;CNY;13.3944
2024-10-15;USD;96.316
2024-10-15;CNY;13.475
2024-10-16;USD;95.9003
2024-10-16;CNY;13.3638
2024-10-17;USD;95.6865
2024-10-17;CNY;13.4342
2024-10-18;USD;96.1297
2024-10-18;CNY;13.4685
2024-10-21;USD;97.5978
2024-10-21;CNY;13.5653
2024-10-22;USD;97.5815
2024-10-22;CNY;13.4544
2024-10-23;USD;96.7485
2024-10-23;CNY;13.559
2024-10-24;USD;97.4628
2024-10-24;CNY;13.5233
2024-10-25;USD;96.8834
2024-10-25;CNY;13.6509
2024-10-28;USD;97.955
2024-10-28;CNY;13.4948
2024-10-29;USD;97.2746
2024-10-29;CNY;13.4288
2024-10-30;USD;96.7735
2024-10-30;CNY;13.4564
2024-10-31;USD;97.4802
2024-10-31;CNY;13.3977
2024-11-01;USD;98.0214
2024-11-01;CNY;13.3703
2024-11-04;USD;96.8484
2024-11-04;CNY;13.4539
2024-11-05;USD;97.2665
2024-11-05;CNY;13.3822
2024-11-06;USD;97.8103
2024-11-06;CNY;13.3996
2024-11-07;USD;98.0294
2024-11-07;CNY;13.3967
2024-11-08;USD;97.5804
2024-11-08;CNY;13.48
2024-11-11;USD;99.5048
2024-11-11;CNY;13.3606
2024-11-12;USD;99.717
2024-11-12;CNY;13.417
2024-11-13;USD;98.8942
2024-11-13;CNY;13.3762
2024-11-14;USD;99.6278
2024-11-14;CNY;13.3297
2024-11-15;USD;100.552
2024-11-15;CNY;13.4119
2024-11-18;USD;100.4198
2024-11-18;CNY;13.1725
2024-11-19;USD;100.4104
2024-11-19;CNY;13.2632
2024-11-20;USD;100.6069
2024-11-20;CNY;13.1625
2024-11-21;USD;100.0026
2024-11-21;CNY;13.2149
2024-11-22;USD;100.8605
2024-11-22;CNY;13.296
2024-11-25;USD;101.0708
2024-11-25;CNY;13.2374
2024-11-26;USD;101.6138
2024-11-26;CNY;13.2685
2024-11-27;USD;100.9814
2024-11-27;CNY;13.3066
2024-11-28;USD;101.6673
2024-11-28;CNY;13.3874
2024-11-29;USD;101.8378
2024-11-29;CNY;13.4577
2024-12-02;USD;102.0894
2024-12-02;CNY;13.5417
2024-12-03;USD;102.7557
2024-12-03;CNY;13.5025
2024-12-04;USD;103.6271
2024-12-04;CNY;13.5911
2024-12-05;USD;104.4746
2024-12-05;CNY;13.7078
2024-12-06;USD;105.0979
2024-12-06;CNY;13.7238
2024-12-09;USD;103.7084
2024-12-09;CNY;13.8016
2024-12-10;USD;104.1599
2024-12-10;CNY;13.6979
2024-12-11;USD;104.6182
2024-12-11;CNY;13.6151
2024-12-12;USD;104.919
2024-12-12;CNY;13.5407
2024-12-13;USD;105.6617
2024-12-13;CNY;13.5618
2024-12-16;USD;106.1656
2024-12-16;CNY;13.7482
2024-12-17;USD;106.5089
2024-12-17;CNY;13.8631
2024-12-18;USD;107.1382
2024-12-18;CNY;13.7821
2024-12-19;USD;106.8141
2024-12-19;CNY;13.7056
2024-12-20;USD;106.6228
2024-12-20;CNY;13.7117
2024-12-23;USD;107.6095
2024-12-23;CNY;13.6105
2024-12-24;USD;107.4631
2024-12-24;CNY;13.6356
2024-12-25;USD;107.8332
2024-12-25;CNY;13.5621
2024-12-26;USD;107.0058
2024-12-26;CNY;13.6585
2024-12-27;USD;106.918
2024-12-27;CNY;13.6415
2024-12-30;USD;108.5688
2024-12-30;CNY;13.59
2024-12-31;USD;108.5308
2024-12-31;CNY;13.7053
2025-01-01;USD;108.6963
2025-01-01;CNY;13.8252
2025-01-02;USD;108.7018
2025-01-02;CNY;13.8079
2025-01-03;USD;108.6723
2025-01-03;CNY;13.8458
2025-01-06;USD;109.7572
2025-01-06;CNY;13.8711
2025-01-07;USD;109.9234
2025-01-07;CNY;13.7646
2025-01-08;USD;109.5722
2025-01-08;CNY;13.7112
2025-01-09;USD;110.5193
2025-01-09;CNY;13.7674
2025-01-10;USD;110.8235
2025-01-10;CNY;13.7704
2025-01-13;USD;110.2325
2025-01-13;CNY;13.5309
2025-01-14;USD;109.4551
2025-01-14;CNY;13.5379
2025-01-15;USD;109.3526
2025-01-15;CNY;13.6229
2025-01-16;USD;108.6398
2025-01-16;CNY;13.5194
2025-01-17;USD;108.5132
2025-01-17;CNY;13.4814
2025-01-20;USD;107.8762
2025-01-20;CNY;13.5056
2025-01-21;USD;107.0161
2025-01-21;CNY;13.5893
2025-01-22;USD;106.7695
2025-01-22;CNY;13.5843
2025-01-23;USD;107.3325
2025-01-23;CNY;13.5655
2025-01-24;USD;106.716
2025-01-24;CNY;13.6632
2025-01-27;USD;105.7786
2025-01-27;CNY;13.6677
2025-01-28;USD;106.5528
2025-01-28;CNY;13.5645
2025-01-29;USD;106.528
2025-01-29;CNY;13.4722
2025-01-30;USD;106.2089
2025-01-30;CNY;13.5371
2025-01-31;USD;106.8172
2025-01-31;CNY;13.4612
2025-02-03;USD;108.1072
2025-02-03;CNY;13.3726
2025-02-04;USD;107.603
2025-02-04;CNY;13.259
2025-02-05;USD;106.8235
2025-02-05;CNY;13.2923
2025-02-06;USD;106.8347
2025-02-06;CNY;13.2129
2025-02-07;USD;107.6592
2025-02-07;CNY;13.2239
2025-02-10;USD;108.0253
2025-02-10;CNY;13.3109
2025-02-11;USD;108.7436
2025-02-11;CNY;13.4289
2025-02-12;USD;107.9731
2025-02-12;CNY;13.4954
2025-02-13;USD;107.3398
2025-02-13;CNY;13.6099
2025-02-14;USD;108.1267
2025-02-14;CNY;13.7203
2025-02-17;USD;107.6835
2025-02-17;CNY;13.731
2025-02-18;USD;107.2423
2025-02-18;CNY;13.737
2025-02-19;USD;106.6065
2025-02-19;CNY;13.6806
2025-02-20;USD;106.0305
2025-02-20;CNY;13.7952
2025-02-21;USD;106.2702
2025-02-21;CNY;13.7683
2025-02-24;USD;105.8076
2025-02-24;CNY;13.5799
2025-02-25;USD;106.2736
2025-02-25;CNY;13.7035
2025-02-26;USD;105.4161
2025-02-26;CNY;13.6902
2025-02-27;USD;104.7703
2025-02-27;CNY;13.7553
2025-02-28;USD;103.9237
2025-02-28;CNY;13.7409
2025-03-03;USD;102.2808
2025-03-03;CNY;13.9426
2025-03-04;USD;102.6674
2025-03-04;CNY;14.0138
2025-03-05;USD;101.9021
2025-03-05;CNY;14.0291
2025-03-06;USD;101.4579
2025-03-06;CNY;14.0098
2025-03-07;USD;100.8623
2025-03-07;CNY;14.0735
2025-03-10;USD;101.0721
2025-03-10;CNY;14.0281
2025-03-11;USD;100.9268
2025-03-11;CNY;13.9828
2025-03-12;USD;101.3773
2025-03-12;CNY;13.9108
2025-03-13;USD;102.2415
2025-03-13;CNY;14.0397
2025-03-14;USD;102.1428
2025-03-14;CNY;14.1644
2025-03-17;USD;102.5801
2025-03-17;CNY;14.1646
2025-03-18;USD;102.7678
2025-03-18;CNY;14.0812
2025-03-19;USD;103.3073
2025-03-19;CNY;13.9668
2025-03-20;USD;102.5643
2025-03-20;CNY;13.9865
2025-03-21;USD;103.2532
2025-03-21;CNY;14.0436
2025-03-24;USD;105.2983
2025-03-24;CNY;13.9933
2025-03-25;USD;105.5381
2025-03-25;CNY;13.9617
2025-03-26;USD;104.86
2025-03-26;CNY;14.0149
2025-03-27;USD;105.1998
2025-03-27;CNY;13.9632
2025-03-28;USD;105.9726
2025-03-28;CNY;13.9657
2025-03-31;USD;105.0981
2025-03-31;CNY;14.1364
2025-04-01;USD;104.6384
2025-04-01;CNY;14.1104
2025-04-02;USD;105.0733
2025-04-02;CNY;14.0959
2025-04-03;USD;105.0826
2025-04-03;CNY;14.0037
2025-04-04;USD;104.1925
2025-04-04;CNY;13.9204
2025-04-07;USD;103.8177
2025-04-07;CNY;13.9684
2025-04-08;USD;104.6395
2025-04-08;CNY;13.9113
2025-04-09;USD;105.2665
2025-04-09;CNY;13.9911
2025-04-10;USD;105.8292
2025-04-10;CNY;14.1124
2025-04-11;USD;105.2258
2025-04-11;CNY;14.1072
2025-04-14;USD;106.493
2025-04-14;CNY;14.0093
2025-04-15;USD;106.619
2025-04-15;CNY;14.1327
2025-04-16;USD;106.0571
2025-04-16;CNY;14.0278
2025-04-17;USD;105.28
2025-04-17;CNY;14.0116
2025-04-18;USD;105.5886
2025-04-18;CNY;14.0875
2025-04-21;USD;105.1918
2025-04-21;CNY;13.9258
2025-04-22;USD;105.7934
2025-04-22;CNY;14.0533
2025-04-23;USD;105.5412
2025-04-23;CNY;14.0515
2025-04-24;USD;105.586
2025-04-24;CNY;14.0584
2025-04-25;USD;105.4064
2025-04-25;CNY;14.1118
2025-04-28;USD;106.5448
2025-04-28;CNY;14.0581
2025-04-29;USD;107.4733
2025-04-29;CNY;13.9656
2025-04-30;USD;107.3122
2025-04-30;CNY;14.0347
2025-05-01;USD;107.2485
2025-05-01;CNY;14.0147
2025-05-02;USD;107.1753
2025-05-02;CNY;13.9788
2025-05-05;USD;105.7674
2025-05-05;CNY;13.9701
2025-05-06;USD;105.3944
2025-05-06;CNY;14.0934
2025-05-07;USD;105.5223
2025-05-07;CNY;14.0647
2025-05-08;USD;105.5029
2025-05-08;CNY;14.17
2025-05-09;USD;105.6638
2025-05-09;CNY;14.1132
2025-05-12;USD;105.507
2025-05-12;CNY;14.3749
2025-05-13;USD;106.2823
2025-05-13;CNY;14.2857
2025-05-14;USD;106.8287
2025-05-14;CNY;14.3054
2025-05-15;USD;106.9437
2025-05-15;CNY;14.346
2025-05-16;USD;107.5154
2025-05-16;CNY;14.2669
2025-05-19;USD;108.0024
2025-05-19;CNY;14.5371
2025-05-20;USD;107.9778
2025-05-20;CNY;14.6647
2025-05-21;USD;108.1039
2025-05-21;CNY;14.7228
2025-05-22;USD;107.3477
2025-05-22;CNY;14.6644
2025-05-23;USD;106.5039
2025-05-23;CNY;14.6731
2025-05-26;USD;107.1666
2025-05-26;CNY;14.7885
2025-05-27;USD;106.2937
2025-05-27;CNY;14.8338
2025-05-28;USD;106.4249
2025-05-28;CNY;14.87
2025-05-29;USD;106.5519
2025-05-29;CNY;14.9996
2025-05-30;USD;106.9022
2025-05-30;CNY;14.9293
2025-06-02;USD;105.5594
2025-06-02;CNY;14.9714
2025-06-03;USD;105.2368
2025-06-03;CNY;14.9797
2025-06-04;USD;105.1792
2025-06-04;CNY;14.8695
2025-06-05;USD;104.917
2025-06-05;CNY;14.9884
2025-06-06;USD;105.3706
2025-06-06;CNY;15.0668
2025-06-09;USD;105.4198
2025-06-09;CNY;14.9823
2025-06-10;USD;104.6028
2025-06-10;CNY;14.8715
2025-06-11;USD;104.2544
2025-06-11;CNY;14.7819
2025-06-12;USD;103.7696
2025-06-12;CNY;14.7853
2025-06-13;USD;104.3367
2025-06-13;CNY;14.871
2025-06-16;USD;104.8263
2025-06-16;CNY;14.7367
2025-06-17;USD;104.6539
2025-06-17;CNY;14.8179
2025-06-18;USD;104.9355
2025-06-18;CNY;14.9345
2025-06-19;USD;104.0577
2025-06-19;CNY;14.9765
2025-06-20;USD;104.0296
2025-06-20;CNY;14.9642
2025-06-23;USD;104.3471
2025-06-23;CNY;14.6531
2025-06-24;USD;103.7651
2025-06-24;CNY;14.5922
2025-06-25;USD;103.8799
2025-06-25;CNY;14.5549
2025-06-26;USD;103.2025
2025-06-26;CNY;14.4888
2025-06-27;USD;102.614
2025-06-27;CNY;14.5888
2025-06-30;USD;103.1813
2025-06-30;CNY;14.6652
2025-07-01;USD;102.7622
2025-07-01;CNY;14.5594
2025-07-02;USD;102.3057
2025-07-02;CNY;14.5901
2025-07-03;USD;102.1909
2025-07-03;CNY;14.7157
2025-07-04;USD;101.9697
2025-07-04;CNY;14.8292
2025-07-07;USD;102.0523
2025-07-07;CNY;14.8603
2025-07-08;USD;102.8888
2025-07-08;CNY;14.7497
2025-07-09;USD;102.4026
2025-07-09;CNY;14.6489
2025-07-10;USD;102.3925
2025-07-10;CNY;14.7269
2025-07-11;USD;102.8758
2025-07-11;CNY;14.7392
2025-07-14;USD;103.4583
2025-07-14;CNY;14.7631
2025-07-15;USD;103.139
2025-07-15;CNY;14.7235
2025-07-16;USD;103.7465
2025-07-16;CNY;14.7584
2025-07-17;USD;104.5855
2025-07-17;CNY;14.6781
2025-07-18;USD;104.5563
2025-07-18;CNY;14.6185
2025-07-21;USD;105.9767
2025-07-21;CNY;14.7187
2025-07-22;USD;105.7976
2025-07-22;CNY;14.6938
2025-07-23;USD;105.5228
2025-07-23;CNY;14.7618
2025-07-24;USD;104.9518
2025-07-24;CNY;14.8759
2025-07-25;USD;105.5072
2025-07-25;CNY;14.7964
2025-07-28;USD;106.4154
2025-07-28;CNY;14.9084
2025-07-29;USD;106.7649
2025-07-29;CNY;14.8327
2025-07-30;USD;107.0567
2025-07-30;CNY;14.7558
2025-07-31;USD;107.05
2025-07-31;CNY;14.7488
2025-08-01;USD;106.7543
2025-08-01;CNY;14.7596
2025-08-04;USD;106.8339
2025-08-04;CNY;14.9313
2025-08-05;USD;106.1223
2025-08-05;CNY;14.8675
2025-08-06;USD;106.4516
2025-08-06;CNY;14.7847
2025-08-07;USD;106.9235
2025-08-07;CNY;14.8422
2025-08-08;USD;106.4222
2025-08-08;CNY;14.7302
2025-08-11;USD;107.2768
2025-08-11;CNY;14.7166
2025-08-12;USD;107.554
2025-08-12;CNY;14.7944
2025-08-13;USD;106.7596
2025-08-13;CNY;14.7395
2025-08-14;USD;106.8132
2025-08-14;CNY;14.6362
2025-08-15;USD;106.5754
2025-08-15;CNY;14.6593
2025-08-18;USD;106.6496
2025-08-18;CNY;14.6037
2025-08-19;USD;107.0313
2025-08-19;CNY;14.5842
2025-08-20;USD;106.8682
2025-08-20;CNY;14.6706
2025-08-21;USD;107.1253
2025-08-21;CNY;14.5636
2025-08-22;USD;107.6692
2025-08-22;CNY;14.5462
2025-08-25;USD;107.8972
2025-08-25;CNY;14.5358
2025-08-26;USD;107.4365
2025-08-26;CNY;14.4349
2025-08-27;USD;107.3954
2025-08-27;CNY;14.4362
2025-08-28;USD;107.1518
2025-08-28;CNY;14.3766
2025-08-29;USD;106.5283
2025-08-29;CNY;14.3202
2025-09-01;USD;105.6298
2025-09-01;CNY;14.3083
2025-09-02;USD;105.072
2025-09-02;CNY;14.3842
2025-09-03;USD;105.2358
2025-09-03;CNY;14.3006
2025-09-04;USD;105.6192
2025-09-04;CNY;14.2777
2025-09-05;USD;105.6492
2025-09-05;CNY;14.2174
2025-09-08;USD;105.2896
2025-09-08;CNY;14.1022
2025-09-09;USD;105.7111
2025-09-09;CNY;14.0472
2025-09-10;USD;105.2027
2025-09-10;CNY;14.0057
2025-09-11;USD;105.2809
2025-09-11;CNY;13.9974
2025-09-12;USD;104.5302
2025-09-12;CNY;14.0259
2025-09-15;USD;102.9823
2025-09-15;CNY;14.2499
2025-09-16;USD;102.4289
2025-09-16;CNY;14.3157
2025-09-17;USD;101.6347
2025-09-17;CNY;14.4291
2025-09-18;USD;102.321
2025-09-18;CNY;14.3115
2025-09-19;USD;101.8679
2025-09-19;CNY;14.4352
2025-09-22;USD;103.2331
2025-09-22;CNY;14.6321
2025-09-23;USD;102.9256
2025-09-23;CNY;14.7196
2025-09-24;USD;102.4525
