receipt_id;order_id;line_no;received_at_utc;qty_received;quality_status;warehouse_code
R900047;PO500020;1;2024-01-15T04:56:00Z;27.4;accepted;WH-02
R900048;PO500020;2;2024-02-03T22:33:00Z;76.57;partially_rejected;WH-01
R900049;PO500021;1;2024-01-27T21:53:00Z;152.0;accepted;WH-02
R900050;PO500021;2;2024-02-02T01:09:00Z;80.58;accepted;WH-02
R900051;PO500021;3;2024-01-08T07:48:00Z;183.48;accepted;WH-01
R900052;PO500021;4;2024-02-11T07:45:00Z;86.04;accepted;WH-05
R900053;PO500021;5;2024-01-29T18:47:00Z;132.48;accepted;WH-04
R900054;PO500022;1;2024-02-05T13:34:00Z;20.98;accepted;WH-05
R900055;PO500022;1;2024-02-02T21:27:00Z;46.44;accepted;WH-05
R900056;PO500023;1;2024-01-29T00:00:00Z;165.15;accepted;WH-03
R900057;PO500025;1;2024-02-01T14:13:00Z;129.59;accepted;WH-02
R900058;PO500026;1;2024-01-18T02:44:00Z;179.23;accepted;WH-01
R900059;PO500026;2;2024-01-25T11:26:00Z;25.16;accepted;WH-02
R900060;PO500026;2;2024-01-22T14:51:00Z;13.5;accepted;WH-05
R900061;PO500027;1;2024-01-08T10:56:00Z;43.17;accepted;WH-01
R900062;PO500027;1;2024-01-10T19:16:00Z;87.27;accepted;WH-02
R900063;PO500027;2;2024-01-29T06:59:00Z;47.94;accepted;WH-03
R900064;PO500027;2;2024-01-29T13:19:00Z;78.7;accepted;WH-04
R900065;PO500027;3;2024-01-28T19:38:00Z;80.46;accepted;WH-02
R900066;PO500027;4;2024-01-30T16:44:00Z;58.84;accepted;WH-01
R900067;PO500027;4;2024-02-02T22:51:00Z;81.62;rejected;WH-03
R900068;PO500027;5;2024-01-05T04:58:00Z;195.88;accepted;WH-02
R900069;PO500028;1;2024-01-21T23:58:00Z;60.66;accepted;WH-03
R900070;PO500028;2;2024-02-12T23:26:00Z;43.73;rejected;WH-04
R900071;PO500028;4;2024-02-05T16:37:00Z;152.46;accepted;WH-05
R900072;PO500028;5;2024-01-02T13:42:00Z;13.78;accepted;WH-01
R900073;PO500029;1;2024-02-03T15:25:00Z;142.9;accepted;WH-02
R900074;PO500030;1;2024-02-03T21:36:00Z;19.46;accepted;WH-01
R900075;PO500030;1;2024-02-03T08:46:00Z;30.21;accepted;WH-03
R900076;PO500030;2;2024-02-09T09:32:00Z;8.36;accepted;WH-03
R900077;PO500030;2;2024-02-09T01:50:00Z;9.17;accepted;WH-03
R900078;PO500030;3;2024-01-16T00:42:00Z;8.6;accepted;WH-03
R900079;PO500030;5;2024-02-17T21:06:00Z;11.59;accepted;WH-04
R900080;PO500030;5;2024-02-19T21:25:00Z;6.43;accepted;WH-05
R900081;PO500031;1;2024-02-10T02:35:00Z;184.23;accepted;WH-04
R900082;PO500031;2;2024-01-19T09:48:00Z;129.87;accepted;WH-04
R900083;PO500031;2;2024-01-24T00:36:00Z;60.53;accepted;WH-02
R900084;PO500031;3;2024-02-02T15:14:00Z;95.82;accepted;WH-05
R900085;PO500031;4;2024-01-24T23:28:00Z;6.84;accepted;WH-02
R900086;PO500032;1;2024-01-28T00:27:00Z;34.25;accepted;WH-02
R900087;PO500033;1;2024-02-14T05:24:00Z;63.1;accepted;WH-01
R900088;PO500033;2;2024-01-08T21:20:00Z;183.61;accepted;WH-05
R900089;PO500033;3;2024-02-07T18:00:00Z;1.04;accepted;WH-05
R900090;PO500033;3;2024-02-05T18:23:00Z;0.64;rejected;WH-01
R900091;PO500033;3;2024-02-13T22:47:00Z;0.36;accepted;WH-02
R900092;PO500033;4;2024-01-31T22:09:00Z;150.43;accepted;WH-02
R900093;PO500034;1;2024-01-24T02:50:00Z;25.13;accepted;WH-03
R900094;PO500034;1;2023-12-30T06:24:00Z;15.57;accepted;WH-04
R900095;PO500035;1;2024-01-25T21:55:00Z;2.32;accepted;WH-01
R900096;PO500035;1;2024-01-28T07:04:00Z;2.73;accepted;WH-04
R900097;PO500035;2;2024-02-15T02:06:00Z;111.88;partially_rejected;WH-04
R900098;PO500035;3;2024-01-13T16:35:00Z;11.85;accepted;WH-01
R900099;PO500036;1;2024-01-12T22:14:00Z;9.36;partially_rejected;WH-03
R900100;PO500036;1;2024-01-07T16:24:00Z;10.05;accepted;WH-04
R900101;PO500036;2;2024-02-13T18:14:00Z;71.29;accepted;WH-04
R900102;PO500036;3;2024-01-30T19:49:00Z;168.51;accepted;WH-03
R900103;PO500038;1;2024-01-20T22:44:00Z;182.57;accepted;WH-02
R900104;PO500038;2;2024-01-14T13:41:00Z;36.56;accepted;WH-05
R900105;PO500038;2;2024-01-10T13:42:00Z;71.54;partially_rejected;WH-05
R900106;PO500038;3;2024-01-23T04:08:00Z;162.76;accepted;WH-01
R900107;PO500039;1;2024-02-01T22:49:00Z;46.01;accepted;WH-01
R900108;PO500039;1;2024-02-05T03:19:00Z;70.69;accepted;WH-05
R900109;PO500039;2;2024-01-10T05:39:00Z;28.23;accepted;WH-04
R900110;PO500039;2;2024-01-22T16:36:00Z;12.33;accepted;WH-05
R900111;PO500039;2;2024-01-07T02:11:00Z;12.97;accepted;WH-01
R900112;PO500039;3;2024-01-22T04:32:00Z;79.69;accepted;WH-02
R900113;PO500039;3;2024-01-18T22:45:00Z;43.97;accepted;WH-05
R900114;PO500039;4;2024-01-06T20:19:00Z;158.26;accepted;WH-04
R900115;PO500040;1;2024-01-18T07:24:00Z;1.09;accepted;WH-02
R900116;PO500042;1;2024-02-03T05:12:00Z;29.44;partially_rejected;WH-01
R900117;PO500042;1;2024-01-31T18:30:00Z;16.61;accepted;WH-05
R900118;PO500042;1;2024-02-08T22:32:00Z;17.19;accepted;WH-02
R900119;PO500042;2;2024-01-28T21:23:00Z;71.38;accepted;WH-02
R900120;PO500042;2;2024-01-21T15:11:00Z;32.09;accepted;WH-03
R900121;PO500042;2;2024-01-26T11:09:00Z;59.09;accepted;WH-03
R900122;PO500043;1;2024-01-11T19:40:00Z;61.13;partially_rejected;WH-01
R900123;PO500044;1;2024-01-18T07:41:00Z;161.54;accepted;WH-01
R900124;PO500045;2;2024-02-12T07:23:00Z;39.36;accepted;WH-05
R900125;PO500045;4;2024-01-16T12:32:00Z;147.24;rejected;WH-03
R900126;PO500046;3;2024-01-23T03:13:00Z;167.36;accepted;WH-01
R900127;PO500046;5;2024-01-09T09:18:00Z;45.93;accepted;WH-03
R900128;PO500046;5;2024-01-11T09:46:00Z;21.01;accepted;WH-01
R900129;PO500047;1;2024-01-01T05:47:00Z;45.65;accepted;WH-05
R900130;PO500047;1;2024-01-06T09:45:00Z;40.96;accepted;WH-03
R900131;PO500048;1;2024-01-29T05:31:00Z;199.08;rejected;WH-03
R900132;PO500048;2;2024-02-10T13:10:00Z;143.09;accepted;WH-05
R900133;PO500048;3;2024-01-15T16:34:00Z;118.6;accepted;WH-03
R900134;PO500048;4;2024-01-25T20:09:00Z;80.21;accepted;WH-02
R900135;PO500048;5;2024-02-02T00:14:00Z;2.52;accepted;WH-03
R900136;PO500048;5;2024-02-02T12:45:00Z;3.14;accepted;WH-03
R900137;PO500049;1;2024-02-10T05:21:00Z;22.71;accepted;WH-02
R900138;PO500049;2;2024-01-27T08:18:00Z;105.74;accepted;WH-05
R900139;PO500049;3;2024-02-14T12:00:00Z;53.33;accepted;WH-01
R900140;PO500049;3;2024-02-03T01:51:00Z;111.42;accepted;WH-03
R900141;PO500049;4;2024-01-12T23:00:00Z;96.11;accepted;WH-02
R900142;PO500049;5;2024-02-08T22:53:00Z;198.41;partially_rejected;WH-02
R900143;PO500050;1;2024-01-14T04:47:00Z;147.97;accepted;WH-02
R900144;PO500050;2;2024-01-18T08:04:00Z;132.54;accepted;WH-05
R900145;PO500050;3;2024-02-26T17:08:00Z;102.45;accepted;WH-05
R900146;PO500050;3;2024-02-25T17:31:00Z;81.92;rejected;WH-01
R900147;PO500050;4;2024-02-21T09:19:00Z;2.91;accepted;WH-02
R900148;PO500051;1;2024-02-10T10:43:00Z;154.74;accepted;WH-03
R900149;PO500051;2;2024-02-12T04:19:00Z;194.77;accepted;WH-05
R900150;PO500052;1;2024-01-14T20:18:00Z;133.92;accepted;WH-04
R900151;PO500052;2;2024-01-25T19:47:00Z;108.15;accepted;WH-04
R900152;PO500052;3;2024-01-07T06:37:00Z;30.17;accepted;WH-02
R900153;PO500052;4;2024-01-29T16:29:00Z;161.56;accepted;WH-05
R900154;PO500052;5;2024-02-05T02:44:00Z;187.0;accepted;WH-05
R900155;PO500055;1;2024-01-04T21:28:00Z;114.4;accepted;WH-01
R900156;PO500055;2;2024-01-28T20:34:00Z;183.08;accepted;WH-04
R900157;PO500055;3;2024-01-27T20:58:00Z;27.12;accepted;WH-03
R900158;PO500055;5;2024-02-01T13:58:00Z;71.03;accepted;WH-03
R900159;PO500056;1;2024-01-21T05:19:00Z;54.9;rejected;WH-01
R900160;PO500056;1;2024-01-13T22:46:00Z;113.33;accepted;WH-05
R900161;PO500056;2;2024-01-22T09:48:00Z;75.37;accepted;WH-05
R900162;PO500056;3;2024-02-01T12:55:00Z;57.46;accepted;WH-04
R900163;PO500056;3;2024-02-16T22:25:00Z;127.23;accepted;WH-02
R900164;PO500057;1;2024-01-14T21:56:00Z;138.6;accepted;WH-05
R900165;PO500057;2;2024-01-19T09:02:00Z;14.05;accepted;WH-03
R900166;PO500058;1;2024-01-27T01:22:00Z;187.44;accepted;WH-05
R900167;PO500058;2;2024-01-31T17:46:00Z;79.77;accepted;WH-04
R900168;PO500058;3;2024-01-21T14:30:00Z;93.39;accepted;WH-03
R900169;PO500058;3;2024-01-09T18:52:00Z;40.81;accepted;WH-04
R900170;PO500059;1;2024-01-15T12:46:00Z;30.13;partially_rejected;WH-02
R900171;PO500059;1;2024-01-15T22:45:00Z;43.5;accepted;WH-02
R900172;PO500059;2;2024-01-28T19:41:00Z;58.99;accepted;WH-01
R900173;PO500059;3;2024-01-16T09:26:00Z;32.09;accepted;WH-05
R900174;PO500059;4;2024-02-21T03:03:00Z;81.71;accepted;WH-04
R900175;PO500061;1;2024-02-07T00:49:00Z;46.34;accepted;WH-05
R900176;PO500061;1;2024-02-07T13:49:00Z;44.13;accepted;WH-03
R900177;PO500061;2;2024-02-07T21:54:00Z;110.24;partially_rejected;WH-05
R900178;PO500061;3;2024-02-10T16:24:00Z;17.84;accepted;WH-05
R900179;PO500061;3;2024-02-08T21:13:00Z;21.0;accepted;WH-04
R900180;PO500061;4;2024-01-13T05:56:00Z;182.06;accepted;WH-03
R900181;PO500063;1;2024-01-26T08:30:00Z;139.25;accepted;WH-01
R900182;PO500063;2;2024-02-14T04:58:00Z;68.24;accepted;WH-05
R900183;PO500063;4;2024-01-15T17:39:00Z;108.32;accepted;WH-03
R900184;PO500063;5;2024-01-23T16:35:00Z;133.91;accepted;WH-05
R900185;PO500064;1;2024-01-25T22:15:00Z;11.62;accepted;WH-03
R900186;PO500064;1;2024-01-24T08:38:00Z;15.43;accepted;WH-02
R900187;PO500064;2;2024-01-07T21:24:00Z;192.16;rejected;WH-03
R900188;PO500065;1;2024-01-08T03:38:00Z;8.92;accepted;WH-04
R900189;PO500065;2;2024-01-30T14:10:00Z;79.27;accepted;WH-01
R900190;PO500065;2;2024-01-26T00:40:00Z;73.45;accepted;WH-04
R900191;PO500065;3;2024-01-21T16:48:00Z;77.52;accepted;WH-04
R900192;PO500066;1;2024-01-25T22:15:00Z;172.7;partially_rejected;WH-04
R900193;PO500067;1;2024-01-29T17:57:00Z;192.41;accepted;WH-04
R900194;PO500067;2;2024-02-18T02:47:00Z;74.4;accepted;WH-03
R900195;PO500067;3;2024-01-13T01:38:00Z;195.37;accepted;WH-01
R900196;PO500067;4;2024-01-18T19:41:00Z;73.82;accepted;WH-02
R900197;PO500067;5;2024-01-11T14:32:00Z;161.62;rejected;WH-05
R900198;PO500068;2;2024-02-02T05:30:00Z;99.1;partially_rejected;WH-04
R900199;PO500068;3;2024-02-05T20:07:00Z;54.8;partially_rejected;WH-03
R900200;PO500068;3;2024-02-09T09:54:00Z;71.22;accepted;WH-03
R900201;PO500068;4;2024-01-17T06:04:00Z;62.83;accepted;WH-02
R900202;PO500068;4;2024-01-14T09:05:00Z;20.47;accepted;WH-02
R900203;PO500068;4;2024-01-20T16:01:00Z;10.43;accepted;WH-05
R900204;PO500068;5;2024-01-16T00:58:00Z;173.5;accepted;WH-04
R900205;PO500069;1;2024-02-03T00:47:00Z;4.34;rejected;WH-04
R900206;PO500069;2;2024-02-06T03:06:00Z;156.6;accepted;WH-01
R900207;PO500070;1;2024-01-25T09:48:00Z;166.95;accepted;WH-04
R900208;PO500070;2;2024-02-02T12:33:00Z;32.88;accepted;WH-04
R900209;PO500070;3;2024-02-13T22:47:00Z;164.9;accepted;WH-04
R900210;PO500070;4;2024-02-10T09:10:00Z;94.69;accepted;WH-04
R900211;PO500070;4;2024-02-04T03:32:00Z;75.78;accepted;WH-04
R900212;PO500070;5;2024-01-16T18:24:00Z;32.84;accepted;WH-01
R900213;PO500071;2;2024-02-08T17:48:00Z;147.07;accepted;WH-01
R900214;PO500071;3;2024-02-13T06:56:00Z;168.26;accepted;WH-03
R900215;PO500071;4;2024-02-07T05:52:00Z;154.41;accepted;WH-03
R900216;PO500072;1;2024-01-24T20:37:00Z;52.7;accepted;WH-01
R900217;PO500072;1;2024-01-14T03:48:00Z;25.35;accepted;WH-03
R900218;PO500072;4;2024-01-12T18:50:00Z;32.33;accepted;WH-02
R900219;PO500073;1;2024-01-18T00:59:00Z;57.31;accepted;WH-05
R900220;PO500073;4;2024-02-08T15:32:00Z;11.82;accepted;WH-05
R900221;PO500073;4;2024-02-11T22:00:00Z;20.98;accepted;WH-02
R900222;PO500073;5;2024-02-05T01:18:00Z;61.37;accepted;WH-02
R900223;PO500074;2;2024-01-06T02:50:00Z;36.33;accepted;WH-05
R900224;PO500074;3;2024-02-03T15:02:00Z;24.92;accepted;WH-04
R900225;PO500074;4;2024-02-10T04:05:00Z;48.11;accepted;WH-04
R900226;PO500074;5;2024-01-28T23:48:00Z;29.94;accepted;WH-02
R900227;PO500075;1;2024-02-01T09:37:00Z;13.44;accepted;WH-04
R900228;PO500075;2;2024-01-24T09:12:00Z;96.49;accepted;WH-03
R900229;PO500075;3;2024-02-03T15:43:00Z;22.22;accepted;WH-03
R900230;PO500075;3;2024-02-01T20:13:00Z;51.59;accepted;WH-04
R900231;PO500075;4;2024-02-07T17:33:00Z;106.21;accepted;WH-05
R900232;PO500076;1;2024-02-19T09:13:00Z;92.34;accepted;WH-03
R900233;PO500078;1;2024-02-02T21:44:00Z;184.51;accepted;WH-02
R900234;PO500078;2;2024-01-30T17:13:00Z;11.65;accepted;WH-04
R900235;PO500079;1;2024-01-15T20:20:00Z;181.51;accepted;WH-05
R900236;PO500079;2;2024-01-19T03:08:00Z;149.51;accepted;WH-02
R900237;PO500079;3;2024-03-02T18:23:00Z;198.47;accepted;WH-02
R900238;PO500080;1;2024-02-15T18:33:00Z;67.11;accepted;WH-03
R900239;PO500080;1;2024-02-17T07:58:00Z;26.47;accepted;WH-04
R900240;PO500080;1;2024-02-12T22:20:00Z;35.1;partially_rejected;WH-02
R900241;PO500081;1;2024-01-30T13:46:00Z;37.52;accepted;WH-04
R900242;PO500082;1;2024-01-20T08:23:00Z;184.36;accepted;WH-05
R900243;PO500082;2;2024-01-02T14:29:00Z;85.66;accepted;WH-01
R900244;PO500082;3;2024-02-15T15:56:00Z;28.03;accepted;WH-05
R900245;PO500082;3;2024-02-10T22:14:00Z;10.1;accepted;WH-01
R900246;PO500082;3;2024-02-13T02:42:00Z;12.24;accepted;WH-03
R900247;PO500083;1;2024-01-22T03:39:00Z;72.17;accepted;WH-02
R900248;PO500083;2;2024-01-31T16:54:00Z;79.06;accepted;WH-02
R900249;PO500084;1;2024-02-25T21:45:00Z;10.13;accepted;WH-02
R900250;PO500084;1;2024-02-11T18:15:00Z;23.16;accepted;WH-03
R900251;PO500084;3;2024-01-04T16:07:00Z;110.32;accepted;WH-02
R900252;PO500086;1;2024-01-08T05:27:00Z;52.89;accepted;WH-05
R900253;PO500088;1;2024-01-10T05:04:00Z;66.38;accepted;WH-05
R900254;PO500089;1;2024-02-14T12:19:00Z;194.1;accepted;WH-05
R900255;PO500089;2;2024-01-23T08:56:00Z;194.84;accepted;WH-04
R900256;PO500089;3;2024-01-23T16:24:00Z;112.36;accepted;WH-04
R900257;PO500089;4;2024-01-09T00:05:00Z;141.3;accepted;WH-02
R900258;PO500089;5;2024-02-17T10:28:00Z;25.87;accepted;WH-04
R900259;PO500091;1;2024-02-12T19:04:00Z;177.8;partially_rejected;WH-03
R900260;PO500092;1;2024-01-29T22:51:00Z;50.8;accepted;WH-03
R900261;PO500092;2;2024-01-18T12:39:00Z;112.61;partially_rejected;WH-02
R900262;PO500092;3;2024-01-24T14:50:00Z;72.09;accepted;WH-01
R900263;PO500092;3;2024-01-29T19:09:00Z;58.47;accepted;WH-05
R900264;PO500092;4;2024-02-01T12:00:00Z;79.39;accepted;WH-04
R900265;PO500092;5;2024-01-24T07:57:00Z;29.47;accepted;WH-02
R900266;PO500093;1;2024-01-25T19:00:00Z;66.27;accepted;WH-04
R900267;PO500093;2;2024-01-14T03:28:00Z;96.76;partially_rejected;WH-03
R900268;PO500095;1;2024-01-11T07:48:00Z;159.5;accepted;WH-01
R900269;PO500096;1;2024-02-12T01:56:00Z;178.2;accepted;WH-04
R900270;PO500096;2;2024-02-02T03:22:00Z;190.48;accepted;WH-01
R900271;PO500096;3;2024-01-23T16:42:00Z;65.0;accepted;WH-04
R900272;PO500097;1;2024-02-15T04:21:00Z;95.43;accepted;WH-01
R900273;PO500098;2;2024-02-09T08:52:00Z;56.3;accepted;WH-05
R900274;PO500098;2;2024-02-13T11:08:00Z;67.07;accepted;WH-03
R900275;PO500099;1;2024-02-29T12:31:00Z;118.24;accepted;WH-02
R900276;PO500099;2;2024-01-31T05:07:00Z;105.65;accepted;WH-05
R900277;PO500099;3;2024-01-12T14:16:00Z;11.38;accepted;WH-04
R900278;PO500099;3;2024-01-24T17:36:00Z;16.14;accepted;WH-03
R900279;PO500101;1;2024-01-31T18:36:00Z;121.58;accepted;WH-01
R900280;PO500101;3;2024-01-28T18:04:00Z;163.65;accepted;WH-02
R900281;PO500102;1;2024-01-18T00:34:00Z;27.06;accepted;WH-04
R900282;PO500102;2;2024-01-12T14:21:00Z;134.98;accepted;WH-01
R900283;PO500102;3;2024-02-06T13:18:00Z;10.1;accepted;WH-03
R900284;PO500102;3;2024-01-25T08:04:00Z;7.85;accepted;WH-01
R900285;PO500102;4;2024-01-14T02:50:00Z;85.69;accepted;WH-03
R900286;PO500102;5;2024-02-04T07:14:00Z;47.38;accepted;WH-01
R900287;PO500102;5;2024-02-26T09:46:00Z;96.23;accepted;WH-03
R900288;PO500103;1;2024-02-08T02:05:00Z;64.28;accepted;WH-03
R900289;PO500103;2;2024-01-30T04:31:00Z;60.11;accepted;WH-03
R900290;PO500103;4;2024-01-28T02:34:00Z;32.83;accepted;WH-01
R900291;PO500104;1;2024-01-25T08:53:00Z;168.58;accepted;WH-04
R900292;PO500104;2;2024-01-13T00:30:00Z;42.16;accepted;WH-05
R900293;PO500104;3;2024-01-28T17:00:00Z;79.86;rejected;WH-02
R900294;PO500104;3;2024-02-05T22:58:00Z;116.9;accepted;WH-02
R900295;PO500104;4;2024-02-14T13:27:00Z;5.0;accepted;WH-03
R900296;PO500104;4;2024-02-14T09:15:00Z;3.83;accepted;WH-05
R900297;PO500106;1;2024-01-29T06:34:00Z;156.16;rejected;WH-05
R900298;PO500106;2;2024-02-16T04:52:00Z;3.35;accepted;WH-02
R900299;PO500106;2;2024-01-25T13:42:00Z;0.54;rejected;WH-05
R900300;PO500106;2;2024-01-30T00:09:00Z;1.05;accepted;WH-01
R900301;PO500106;3;2024-01-24T18:55:00Z;88.55;accepted;WH-01
R900302;PO500106;4;2024-02-07T19:38:00Z;10.78;accepted;WH-01
R900303;PO500107;1;2024-01-04T14:18:00Z;9.41;accepted;WH-02
R900304;PO500107;1;2024-01-06T08:31:00Z;5.2;accepted;WH-05
R900305;PO500108;1;2024-01-26T02:36:00Z;97.82;accepted;WH-02
R900306;PO500108;1;2024-01-25T05:14:00Z;97.35;partially_rejected;WH-04
R900307;PO500108;2;2024-01-15T21:38:00Z;181.37;accepted;WH-05
R900308;PO500108;3;2024-02-09T19:08:00Z;91.91;accepted;WH-03
R900309;PO500109;1;2024-01-16T10:01:00Z;6.98;rejected;WH-02
R900310;PO500109;2;2024-01-24T13:48:00Z;66.11;accepted;WH-02
R900311;PO500109;3;2024-02-02T23:44:00Z;151.21;accepted;WH-04
R900312;PO500110;1;2024-01-29T13:29:00Z;2.95;accepted;WH-03
R900313;PO500110;2;2024-02-05T06:01:00Z;71.01;accepted;WH-03
R900314;PO500110;2;2024-02-03T15:09:00Z;72.26;accepted;WH-01
R900315;PO500111;2;2024-02-09T17:01:00Z;84.88;accepted;WH-03
R900316;PO500112;1;2024-01-26T23:32:00Z;178.3;accepted;WH-02
R900317;PO500112;2;2024-01-07T09:50:00Z;32.7;accepted;WH-05
R900318;PO500112;3;2024-01-22T17:05:00Z;114.52;accepted;WH-03
R900319;PO500112;4;2024-02-08T03:30:00Z;173.39;accepted;WH-01
R900320;PO500112;5;2024-01-16T21:12:00Z;150.04;accepted;WH-05
R900321;PO500113;1;2024-01-11T12:16:00Z;68.91;accepted;WH-02
R900322;PO500113;3;2024-01-13T05:20:00Z;113.86;accepted;WH-01
R900323;PO500113;4;2024-02-16T06:47:00Z;51.75;accepted;WH-01
R900324;PO500113;5;2024-02-13T09:56:00Z;4.98;accepted;WH-02
R900325;PO500113;5;2024-02-21T01:11:00Z;2.78;accepted;WH-03
R900326;PO500113;5;2024-02-23T00:45:00Z;5.58;accepted;WH-05
R900327;PO500114;1;2024-01-07T20:30:00Z;28.0;accepted;WH-02
R900328;PO500114;1;2024-01-25T14:04:00Z;41.15;accepted;WH-02
R900329;PO500114;2;2024-01-15T17:55:00Z;135.67;accepted;WH-05
R900330;PO500115;2;2024-01-20T10:42:00Z;26.27;accepted;WH-03
R900331;PO500116;1;2024-01-07T09:15:00Z;140.5;accepted;WH-04
R900332;PO500116;2;2024-02-06T23:39:00Z;185.73;accepted;WH-01
R900333;PO500116;3;2024-01-18T22:15:00Z;146.88;accepted;WH-04
R900334;PO500117;1;2024-02-09T17:38:00Z;160.74;accepted;WH-03
R900335;PO500118;1;2024-01-23T18:18:00Z;111.73;partially_rejected;WH-02
R900336;PO500119;1;2024-02-02T23:31:00Z;108.38;accepted;WH-01
R900337;PO500120;1;2024-02-15T08:00:00Z;93.68;partially_rejected;WH-05
R900338;PO500120;2;2024-01-22T03:01:00Z;27.77;accepted;WH-01
R900339;PO500121;1;2024-01-10T21:06:00Z;137.25;accepted;WH-04
R900340;PO500121;3;2024-02-11T20:18:00Z;127.5;accepted;WH-01
R900341;PO500121;3;2024-02-17T00:38:00Z;71.35;accepted;WH-04
R900342;PO500121;4;2024-02-09T16:37:00Z;151.21;accepted;WH-05
R900343;PO500121;5;2024-01-13T07:20:00Z;75.94;accepted;WH-03
R900344;PO500123;2;2024-02-12T20:44:00Z;18.74;accepted;WH-04
R900345;PO500123;3;2024-02-16T09:05:00Z;155.35;accepted;WH-05
R900346;PO500124;1;2024-01-12T01:07:00Z;130.11;accepted;WH-03
R900347;PO500124;2;2024-01-08T02:51:00Z;24.45;accepted;WH-01
R900348;PO500124;2;2024-01-07T05:46:00Z;56.94;accepted;WH-03
R900349;PO500125;1;2024-01-27T08:40:00Z;150.13;accepted;WH-05
R900350;PO500126;1;2024-01-23T08:19:00Z;72.0;accepted;WH-04
R900351;PO500126;1;2024-01-19T02:18:00Z;73.68;accepted;WH-04
R900352;PO500126;2;2024-02-01T15:47:00Z;26.64;accepted;WH-01
R900353;PO500126;2;2024-01-11T04:33:00Z;23.67;accepted;WH-02
R900354;PO500126;2;2024-01-21T15:03:00Z;14.49;accepted;WH-02
R900355;PO500128;1;2024-01-13T01:28:00Z;84.14;accepted;WH-03
