item_id;item_name;category;category_reported;uom_code
IT10129;Позиция IT10129 (Смазочные материалы);Смазочные материалы;Смазочные материалы;ROLL50
IT10130;Позиция IT10130 (РТИ);РТИ;РТИ;ROLL50
IT10132;Позиция IT10132 (Кабель);Кабель;Кабель;PACK12
IT10133;Позиция IT10133 (РТИ);РТИ;РТИ;ROLL50
IT10134;Позиция IT10134 (Подшипники);Подшипники;Подшипники;ROLL50
IT10135;Позиция IT10135 (Спецодежда);Спецодежда;Спецодежда;PACK12
IT10136;Позиция IT10136 (Насосы);Насосы;Насосы;PACK6
IT10137;Позиция IT10137 (Инструмент);Инструмент;Инструмент;ROLL50
IT10138;Позиция IT10138 (Инструмент);Инструмент;Инструмент;PACK12
IT10139;Позиция IT10139 (Спецодежда);Спецодежда;Спецодежда;PACK6
IT10140;Позиция IT10140 (Фильтры);Фильтры;Фильтры;ROLL50
IT10141;Позиция IT10141 (Смазочные материалы);Смазочные материалы;Смазочные материалы;TON
IT10143;Позиция IT10143 (Насосы);Насосы;Насосы;KG
IT10144;Позиция IT10144 (Фильтры);Фильтры;Фильтры;M
IT10145;Позиция IT10145 (Насосы);Насосы;Насосы;TON
IT10146;Позиция IT10146 (Спецодежда);Спецодежда;Спецодежда;KG
IT10147;Позиция IT10147 (Подшипники);Подшипники;Подшипники;KG
IT10148;Позиция IT10148 (Насосы);Насосы;Насосы;TON
IT10149;Позиция IT10149 (Фильтры);Фильтры;Фильтры;PACK6
IT10150;Позиция IT10150 (Электрика);Электрика;Электрика;PCS
IT10151;Позиция IT10151 (РТИ);РТИ;РТИ;TON
IT10152;Позиция IT10152 (Инструмент);Инструмент;Инструмент;M
IT10153;Позиция IT10153 (Электрика);Электрика;Электрика;KG
IT10154;Позиция IT10154 (Инструмент);Инструмент;Инструмент;PACK6
IT10155;Позиция IT10155 (Смазочные материалы);Смазочные материалы;Смазочные материалы;PCS
IT10156;Позиция IT10156 (Спецодежда);Спецодежда;Спецодежда;TON
IT10157;Позиция IT10157 (Насосы);Насосы;Насосы;M
IT10158;Позиция IT10158 (Насосы);Насосы;Насосы;PACK12
IT10159;Позиция IT10159 (Крепёж);Крепёж;Фильтры;PACK12
IT10160;Позиция IT10160 (Электрика);Электрика;Смазочные материалы;ROLL50
IT10161;Позиция IT10161 (Кабель);Кабель;Кабель;PACK12
IT10162;Позиция IT10162 (Спецодежда);Спецодежда;Спецодежда;PACK12
IT10163;Позиция IT10163 (РТИ);РТИ;РТИ;M
IT10164;Позиция IT10164 (Инструмент);Инструмент;Фильтры;TON
IT10165;Позиция IT10165 (Фильтры);Фильтры;Фильтры;KG
IT10166;Позиция IT10166 (Электрика);Электрика;РТИ;M
IT10167;Позиция IT10167 (Спецодежда);Спецодежда;Спецодежда;TON
IT10168;Позиция IT10168 (Инструмент);Инструмент;Инструмент;ROLL50
IT10169;Позиция IT10169 (Фильтры);Фильтры;Крепёж;TON
IT10170;Позиция IT10170 (Электрика);Электрика;Электрика;KG
IT10171;Позиция IT10171 (РТИ);РТИ;РТИ;PCS
IT10172;Позиция IT10172 (Смазочные материалы);Смазочные материалы;Смазочные материалы;PACK12
IT10176;Позиция IT10176 (Фильтры);Фильтры;Фильтры;ROLL50
IT10177;Позиция IT10177 (Инструмент);Инструмент;Инструмент;KG
IT10178;Позиция IT10178 (Подшипники);Подшипники;Подшипники;ROLL50
IT10179;Позиция IT10179 (Инструмент);Инструмент;Инструмент;PACK6
IT10180;Позиция IT10180 (Кабель);Кабель;Кабель;ROLL50
IT10181;Позиция IT10181 (Кабель);Кабель;Кабель;PACK6
IT10182;Позиция IT10182 (Спецодежда);Спецодежда;Спецодежда;TON
IT10183;Позиция IT10183 (Электрика);Электрика;Электрика;PCS
IT10184;Позиция IT10184 (Спецодежда);Спецодежда;Спецодежда;PACK6
IT10185;Позиция IT10185 (Электрика);Электрика;Электрика;M
IT10186;Позиция IT10186 (РТИ);РТИ;Насосы;M
IT10187;Позиция IT10187 (Спецодежда);Спецодежда;Спецодежда;KG
IT10188;Позиция IT10188 (Смазочные материалы);Смазочные материалы;Смазочные материалы;PACK6
IT10189;Позиция IT10189 (Спецодежда);Спецодежда;Спецодежда;PCS
IT10190;Позиция IT10190 (Электрика);Электрика;Электрика;KG
IT10191;Позиция IT10191 (Инструмент);Инструмент;Инструмент;TON
IT10192;Позиция IT10192 (Электрика);Электрика;Электрика;ROLL50
IT10193;Позиция IT10193 (Фильтры);Фильтры;Фильтры;PACK6
IT10194;Позиция IT10194 (РТИ);РТИ;РТИ;PACK24
IT10195;Позиция IT10195 (Фильтры);Фильтры;Фильтры;PCS
IT10196;Позиция IT10196 (Инструмент);Инструмент;Инструмент;TON
IT10197;Позиция IT10197 (Кабель);Кабель;Кабель;ROLL50
IT10198;Позиция IT10198 (Инструмент);Инструмент;Инструмент;TON
IT10200;Позиция IT10200 (Инструмент);Инструмент;Инструмент;PACK12
IT10202;Позиция IT10202 (Инструмент);Инструмент;Инструмент;TON
IT10203;Позиция IT10203 (Насосы);Насосы;Насосы;PCS
IT10204;Позиция IT10204 (РТИ);РТИ;РТИ;PACK6
IT10205;Позиция IT10205 (Подшипники);Подшипники;Подшипники;PACK6
IT10206;Позиция IT10206 (Кабель);Кабель;Кабель;PACK24
IT10207;Позиция IT10207 (Электрика);Электрика;Электрика;PACK6
IT10208;Позиция IT10208 (Насосы);Насосы;Насосы;M
IT10209;Позиция IT10209 (Электрика);Электрика;Электрика;PACK24
IT10210;Позиция IT10210 (Смазочные материалы);Смазочные материалы;Смазочные материалы;PACK6
IT10211;Позиция IT10211 (Подшипники);Подшипники;Подшипники;KG
IT10212;Позиция IT10212 (Подшипники);Подшипники;Подшипники;ROLL50
IT10213;Позиция IT10213 (РТИ);РТИ;РТИ;KG
IT10214;Позиция IT10214 (Кабель);Кабель;Кабель;M
IT10216;Позиция IT10216 (Насосы);Насосы;Насосы;KG
IT10217;Позиция IT10217 (Спецодежда);Спецодежда;Спецодежда;PACK24
IT10218;Позиция IT10218 (Спецодежда);Спецодежда;Спецодежда;PACK12
IT10219;Позиция IT10219 (Подшипники);Подшипники;Подшипники;M
IT10221;Позиция IT10221 (Спецодежда);Спецодежда;Спецодежда;PACK12
IT10222;Позиция IT10222 (РТИ);РТИ;РТИ;PCS
IT10223;Позиция IT10223 (Кабель);Кабель;Кабель;PACK12
IT10224;Позиция IT10224 (Спецодежда);Спецодежда;Спецодежда;PACK12
IT10225;Позиция IT10225 (Инструмент);Инструмент;Инструмент;TON
IT10226;Позиция IT10226 (Подшипники);Подшипники;Подшипники;PACK24
IT10227;Позиция IT10227 (Электрика);Электрика;Электрика;ROLL50
IT10228;Позиция IT10228 (Кабель);Кабель;Кабель;ROLL50
IT10229;Позиция IT10229 (РТИ);РТИ;РТИ;PACK12
IT10230;Позиция IT10230 (Спецодежда);Спецодежда;Смазочные материалы;PCS
IT10231;Позиция IT10231 (РТИ);РТИ;РТИ;PCS
IT10232;Позиция IT10232 (Кабель);Кабель;Кабель;PACK24
IT10233;Позиция IT10233 (Инструмент);Инструмент;Спецодежда;PACK24
IT10234;Позиция IT10234 (Крепёж);Крепёж;Крепёж;KG
IT10235;Позиция IT10235 (Насосы);Насосы;Насосы;M
IT10236;Позиция IT10236 (Насосы);Насосы;Насосы;PACK12
IT10237;Позиция IT10237 (Подшипники);Подшипники;Подшипники;KG
IT10238;Позиция IT10238 (Фильтры);Фильтры;Фильтры;ROLL50
IT10239;Позиция IT10239 (РТИ);РТИ;РТИ;PACK6
IT10240;Позиция IT10240 (Спецодежда);Спецодежда;Спецодежда;PCS
IT10241;Позиция IT10241 (Инструмент);Инструмент;Инструмент;TON
IT10242;Позиция IT10242 (Электрика);Электрика;Электрика;ROLL50
IT10243;Позиция IT10243 (Инструмент);Инструмент;Инструмент;PACK6
IT10244;Позиция IT10244 (РТИ);РТИ;РТИ;PACK24
IT10245;Позиция IT10245 (РТИ);РТИ;РТИ;PACK12
IT10246;Позиция IT10246 (Подшипники);Подшипники;Подшипники;PACK6
IT10247;Позиция IT10247 (Крепёж);Крепёж;Крепёж;PACK12
IT10248;Позиция IT10248 (Кабель);Кабель;Кабель;PACK6
IT10249;Позиция IT10249 (РТИ);РТИ;РТИ;PACK12
IT10250;Позиция IT10250 (Спецодежда);Спецодежда;Спецодежда;KG
IT10251;Позиция IT10251 (Электрика);Электрика;Электрика;KG
IT10252;Позиция IT10252 (Спецодежда);Спецодежда;Спецодежда;PCS
IT10253;Позиция IT10253 (Фильтры);Фильтры;Фильтры;PCS
IT10254;Позиция IT10254 (Кабель);Кабель;Кабель;PACK6
IT10255;Позиция IT10255 (Крепёж);Крепёж;Крепёж;PCS
IT10256;Позиция IT10256 (Крепёж);Крепёж;Крепёж;ROLL50
IT10257;Позиция IT10257 (Фильтры);Фильтры;Фильтры;ROLL50
IT10258;Позиция IT10258 (РТИ);РТИ;РТИ;M
IT10259;Позиция IT10259 (Подшипники);Подшипники;Подшипники;PACK6
IT10260;Позиция IT10260 (Подшипники);Подшипники;Подшипники;PACK12
IT10261;Позиция IT10261 (Подшипники);Подшипники;Подшипники;M
IT10262;Позиция IT10262 (Подшипники);Подшипники;Подшипники;TON
IT10263;Позиция IT10263 (Крепёж);Крепёж;Крепёж;KG
IT10264;Позиция IT10264 (Кабель);Кабель;Кабель;ROLL50
IT10265;Позиция IT10265 (Инструмент);Инструмент;Инструмент;PACK12
IT10266;Позиция IT10266 (Фильтры);Фильтры;Фильтры;PACK6
IT10267;Позиция IT10267 (Крепёж);Крепёж;Крепёж;PCS
IT10268;Позиция IT10268 (Фильтры);Фильтры;Фильтры;PCS
IT10269;Позиция IT10269 (Спецодежда);Спецодежда;Спецодежда;PACK24
IT10270;Позиция IT10270 (Крепёж);Крепёж;Инструмент;PCS
IT10271;Позиция IT10271 (Смазочные материалы);Смазочные материалы;Смазочные материалы;PACK24
IT10272;Позиция IT10272 (Крепёж);Крепёж;Крепёж;PACK6
IT10273;Позиция IT10273 (Подшипники);Подшипники;Подшипники;KG
IT10274;Позиция IT10274 (Смазочные материалы);Смазочные материалы;Смазочные материалы;PACK24
IT10275;Позиция IT10275 (Фильтры);Фильтры;Фильтры;PACK12
IT10276;Позиция IT10276 (Насосы);Насосы;Насосы;TON
IT10277;Позиция IT10277 (Фильтры);Фильтры;Фильтры;PCS
IT10279;Позиция IT10279 (Смазочные материалы);Смазочные материалы;Смазочные материалы;PACK12
IT10280;Позиция IT10280 (Крепёж);Крепёж;Крепёж;KG
IT10281;Позиция IT10281 (Спецодежда);Спецодежда;Спецодежда;PACK6
IT10282;Позиция IT10282 (Подшипники);Подшипники;Подшипники;PACK24
IT10283;Позиция IT10283 (Спецодежда);Спецодежда;Спецодежда;PACK6
IT10284;Позиция IT10284 (Смазочные материалы);Смазочные материалы;Смазочные материалы;PACK6
IT10285;Позиция IT10285 (Кабель);Кабель;РТИ;KG
IT10286;Позиция IT10286 (Спецодежда);Спецодежда;Спецодежда;KG
IT10287;Позиция IT10287 (РТИ);РТИ;РТИ;PCS
IT10288;Позиция IT10288 (Кабель);Кабель;Кабель;KG
IT10289;Позиция IT10289 (Кабель);Кабель;Кабель;PCS
IT10290;Позиция IT10290 (Спецодежда);Спецодежда;Спецодежда;PCS
IT10291;Позиция IT10291 (Инструмент);Инструмент;Инструмент;PACK12
IT10292;Позиция IT10292 (Инструмент);Инструмент;Инструмент;PACK24
IT10293;Позиция IT10293 (Инструмент);Инструмент;Инструмент;PACK6
IT10294;Позиция IT10294 (Подшипники);Подшипники;Подшипники;TON
IT10295;Позиция IT10295 (Инструмент);Инструмент;Инструмент;KG
IT10296;Позиция IT10296 (Кабель);Кабель;Кабель;PACK24
IT10297;Позиция IT10297 (Фильтры);Фильтры;Фильтры;KG
IT10298;Позиция IT10298 (Подшипники);Подшипники;Подшипники;M
IT10299;Позиция IT10299 (Кабель);Кабель;Кабель;ROLL50
IT10300;Позиция IT10300 (Крепёж);Крепёж;Крепёж;PACK12
IT10302;Позиция IT10302 (Крепёж);Крепёж;Крепёж;TON
IT10303;Позиция IT10303 (Крепёж);Крепёж;Крепёж;TON
IT10304;Позиция IT10304 (Смазочные материалы);Смазочные материалы;Смазочные материалы;TON
IT10305;Позиция IT10305 (Насосы);Насосы;Насосы;PACK24
IT10306;Позиция IT10306 (Спецодежда);Спецодежда;Спецодежда;PACK12
IT10307;Позиция IT10307 (Смазочные материалы);Смазочные материалы;Смазочные материалы;KG
IT10308;Позиция IT10308 (Насосы);Насосы;Насосы;M
IT10310;Позиция IT10310 (Насосы);Насосы;Насосы;KG
IT10311;Позиция IT10311 (Спецодежда);Спецодежда;Спецодежда;PCS
IT10312;Позиция IT10312 (Насосы);Насосы;Насосы;PACK12
IT10313;Позиция IT10313 (Фильтры);Фильтры;Фильтры;PACK12
IT10314;Позиция IT10314 (Смазочные материалы);Смазочные материалы;Смазочные материалы;PCS
IT10315;Позиция IT10315 (Фильтры);Фильтры;Фильтры;ROLL50
IT10316;Позиция IT10316 (Электрика);Электрика;Электрика;TON
IT10317;Позиция IT10317 (Электрика);Электрика;Электрика;PACK6
IT10318;Позиция IT10318 (Подшипники);Подшипники;Подшипники;PACK12
IT10319;Позиция IT10319 (Подшипники);Подшипники;Подшипники;PCS
IT10320;Позиция IT10320 (Фильтры);Фильтры;Фильтры;PCS
IT10321;Позиция IT10321 (Фильтры);Фильтры;Фильтры;PCS
IT10322;Позиция IT10322 (Спецодежда);Спецодежда;Спецодежда;PCS
IT10323;Позиция IT10323 (Крепёж);Крепёж;Крепёж;PACK24
IT10324;Позиция IT10324 (Подшипники);Подшипники;Подшипники;PACK24
IT10325;Позиция IT10325 (РТИ);РТИ;РТИ;PCS
IT10326;Позиция IT10326 (РТИ);РТИ;РТИ;PACK6
IT10328;Позиция IT10328 (РТИ);РТИ;РТИ;KG
IT10329;Позиция IT10329 (Смазочные материалы);Смазочные материалы;Смазочные материалы;PCS
IT10330;Позиция IT10330 (Электрика);Электрика;Электрика;PACK12
IT10331;Позиция IT10331 (РТИ);РТИ;РТИ;TON
IT10332;Позиция IT10332 (Инструмент);Инструмент;Инструмент;PACK6
IT10333;Позиция IT10333 (Подшипники);Подшипники;Подшипники;ROLL50
IT10334;Позиция IT10334 (Насосы);Насосы;Насосы;PACK6
IT10335;Позиция IT10335 (Электрика);Электрика;Электрика;PACK12
IT10336;Позиция IT10336 (Смазочные материалы);Смазочные материалы;Смазочные материалы;PACK24
IT10337;Позиция IT10337 (Насосы);Насосы;Насосы;KG
IT10338;Позиция IT10338 (Фильтры);Фильтры;Спецодежда;ROLL50
IT10339;Позиция IT10339 (Фильтры);Фильтры;Фильтры;ROLL50
IT10340;Позиция IT10340 (Насосы);Насосы;Насосы;TON
IT10341;Позиция IT10341 (РТИ);РТИ;РТИ;PACK12
IT10342;Позиция IT10342 (Инструмент);Инструмент;Инструмент;M
IT10343;Позиция IT10343 (Смазочные материалы);Смазочные материалы;Смазочные материалы;PACK24
IT10344;Позиция IT10344 (Крепёж);Крепёж;Крепёж;TON
IT10345;Позиция IT10345 (Спецодежда);Спецодежда;Спецодежда;PACK6
IT10346;Позиция IT10346 (Крепёж);Крепёж;Крепёж;ROLL50
IT10348;Позиция IT10348 (Насосы);Насосы;Насосы;PACK12
IT10349;Позиция IT10349 (Спецодежда);Спецодежда;Спецодежда;M
IT10350;Позиция IT10350 (Подшипники);Подшипники;Подшипники;PACK24
IT10351;Позиция IT10351 (Насосы);Насосы;Насосы;TON
IT10352;Позиция IT10352 (Инструмент);Инструмент;Инструмент;PACK6
IT10353;Позиция IT10353 (Смазочные материалы);Смазочные материалы;Смазочные материалы;PACK6
IT10354;Позиция IT10354 (Смазочные материалы);Смазочные материалы;Смазочные материалы;ROLL50
IT10355;Позиция IT10355 (Инструмент);Инструмент;Инструмент;PACK24
IT10356;Позиция IT10356 (Электрика);Электрика;Электрика;PCS
IT10357;Позиция IT10357 (Кабель);Кабель;Кабель;ROLL50
IT10358;Позиция IT10358 (Спецодежда);Спецодежда;Спецодежда;PACK6
IT10359;Позиция IT10359 (Инструмент);Инструмент;Инструмент;TON
IT10360;Позиция IT10360 (Крепёж);Крепёж;Крепёж;ROLL50
IT10361;Позиция IT10361 (Спецодежда);Спецодежда;Спецодежда;KG
IT10362;Позиция IT10362 (Смазочные материалы);Смазочные материалы;Смазочные материалы;M
IT10364;Позиция IT10364 (Подшипники);Подшипники;Подшипники;PACK6
IT10365;Позиция IT10365 (Крепёж);Крепёж;Крепёж;TON
IT10366;Позиция IT10366 (Крепёж);Крепёж;Крепёж;KG
IT10367;Позиция IT10367 (Кабель);Кабель;Кабель;M
IT10368;Позиция IT10368 (Смазочные материалы);Смазочные материалы;Смазочные материалы;PACK6
IT10369;Позиция IT10369 (Электрика);Электрика;Электрика;KG
IT10370;Позиция IT10370 (Насосы);Насосы;Насосы;M
IT10371;Позиция IT10371 (Смазочные материалы);Смазочные материалы;Смазочные материалы;PCS
IT10372;Позиция IT10372 (Насосы);Насосы;Насосы;PCS
IT10373;Позиция IT10373 (Фильтры);Фильтры;Фильтры;PACK6
IT10374;Позиция IT10374 (Фильтры);Фильтры;Фильтры;M
IT10375;Позиция IT10375 (Кабель);Кабель;Кабель;PACK12
IT10376;Позиция IT10376 (Подшипники);Подшипники;Подшипники;ROLL50
IT10377;Позиция IT10377 (Крепёж);Крепёж;Крепёж;PCS
IT10378;Позиция IT10378 (Фильтры);Фильтры;Фильтры;TON
IT10381;Позиция IT10381 (Спецодежда);Спецодежда;Спецодежда;PACK24
IT10382;Позиция IT10382 (Электрика);Электрика;Электрика;TON
IT10383;Позиция IT10383 (Смазочные материалы);Смазочные материалы;Смазочные материалы;TON
IT10384;Позиция IT10384 (Спецодежда);Спецодежда;Спецодежда;KG
IT10385;Позиция IT10385 (Электрика);Электрика;Электрика;ROLL50
IT10386;Позиция IT10386 (Смазочные материалы);Смазочные материалы;Смазочные материалы;PACK6
IT10387;Позиция IT10387 (Крепёж);Крепёж;Крепёж;TON
IT10388;Позиция IT10388 (Электрика);Электрика;Электрика;PCS
IT10389;Позиция IT10389 (Кабель);Кабель;Кабель;TON
IT10390;Позиция IT10390 (Насосы);Насосы;Насосы;PACK12
IT10391;Позиция IT10391 (Крепёж);Крепёж;Крепёж;PACK12
IT10392;Позиция IT10392 (Спецодежда);Спецодежда;Спецодежда;PACK12
IT10393;Позиция IT10393 (Подшипники);Подшипники;Подшипники;PACK24
IT10394;Позиция IT10394 (Крепёж);Крепёж;Крепёж;TON
IT10395;Позиция IT10395 (Крепёж);Крепёж;Крепёж;PACK24
IT10396;Позиция IT10396 (РТИ);РТИ;РТИ;ROLL50
