supplier_id;inn;supplier_name;region;reliability_class;valid_from;valid_to;is_current
S1018;6168600289;"АО ""ЭпсилонТех-18""";Ростов-на-Дону;C;2024-01-01;9999-12-31;1
S1019;6251468548;"ИП ""АльфаСнаб-19""";Казань;C;2024-01-01;9999-12-31;1
S1020;9756965410;"ООО ""Севергруз-20""";Екатеринбург;B;2024-01-01;9999-12-31;1
S1021;5510509420;"ПАО ""ГаммаПром-21""";Санкт-Петербург;A;2024-01-01;9999-12-31;1
S1022;5256420704;"ООО ""АльфаСнаб-22""";Москва;B;2024-01-01;9999-12-31;1
S1023;7661401524;"ИП ""Севергруз-23""";Самара;A;2024-01-01;9999-12-31;1
S1024;6203036487;"ПАО ""СибирьОпт-24""";Екатеринбург;B;2024-01-01;9999-12-31;1
S1025;4236183119;"ИП ""АльфаСнаб-25""";Ростов-на-Дону;C;2024-01-01;9999-12-31;1
S1026;3430420654;"ИП ""ЭлектроМир-26""";Новосибирск;B;2024-01-01;9999-12-31;1
S1027;9604015376;"ИП ""БетаТрейд-27""";Ростов-на-Дону;A;2024-01-01;9999-12-31;1
S1028;7605742304;"ИП ""БетаТрейд-28""";Екатеринбург;A;2024-01-01;9999-12-31;1
S1029;1164438269;"ООО ""МеталлТорг-29""";Москва;A;2024-01-01;9999-12-31;1
S1030;9330400329;"ИП ""ПромСнаб-30""";Казань;A;2024-01-01;9999-12-31;1
S1031;3498810138;"ПАО ""ЭпсилонТех-31""";Санкт-Петербург;C;2024-01-01;9999-12-31;1
S1032;4848744976;"ПАО ""Севергруз-32""";Москва;A;2024-01-01;9999-12-31;1
S1033;9026027108;"АО ""ГаммаПром-33""";Новосибирск;C;2024-01-01;9999-12-31;1
S1034;7614642252;"АО ""СтанкоСервис-34""";Самара;A;2024-01-01;9999-12-31;1
S1035;1175213575;"ООО ""АльфаСнаб-35""";Самара;C;2024-01-01;9999-12-31;1
S1036;9692833459;"АО ""ВолгаТех-36""";Самара;A;2024-01-01;9999-12-31;1
S1037;6425784015;"ИП ""ТехКомплект-37""";Новосибирск;A;2024-01-01;9999-12-31;1
S1038;8757438026;"ИП ""БетаТрейд-38""";Казань;B;2024-01-01;9999-12-31;1
S1039;9762292597;"АО ""ВолгаТех-39""";Екатеринбург;A;2024-01-01;9999-12-31;1
S1040;6947562940;"ИП ""УралДеталь-40""";Ростов-на-Дону;A;2024-01-01;9999-12-31;1
S1041;6345050694;"ИП ""СибирьОпт-41""";Красноярск;C;2024-01-01;9999-12-31;1
S1042;4305019545;"ООО ""УралДеталь-42""";Ростов-на-Дону;B;2024-01-01;9999-12-31;1
S1043;6824546805;"ПАО ""ВолгаТех-43""";Екатеринбург;C;2024-01-01;9999-12-31;1
S1044;6939000485;"АО ""ГидроПром-44""";Ростов-на-Дону;C;2024-01-01;9999-12-31;1
S1045;9678016609;"ООО ""ТехКомплект-45""";Москва;C;2024-01-01;9999-12-31;1
S1046;3203403245;"АО ""ВолгаТех-46""";Ростов-на-Дону;C;2024-01-01;9999-12-31;1
S1047;4315494031;"АО ""ЭлектроМир-47""";Самара;C;2024-01-01;9999-12-31;1
S1048;6729556589;"ООО ""ДельтаЛогистик-48""";Екатеринбург;B;2024-01-01;9999-12-31;1
S1049;4544937676;"АО ""СтанкоСервис-49""";Ростов-на-Дону;C;2024-01-01;9999-12-31;1
S1050;5386956634;"ИП ""ГидроПром-50""";Москва;A;2024-01-01;9999-12-31;1
S1051;2183066432;"ИП ""ЭпсилонТех-51""";Казань;A;2024-01-01;9999-12-31;1
S1052;8347640543;"ПАО ""УралДеталь-52""";Москва;C;2024-01-01;9999-12-31;1
S1053;9971592644;"АО ""ТехКомплект-53""";Новосибирск;A;2024-01-01;9999-12-31;1
S1054;8681026443;"ООО ""СибирьОпт-54""";Красноярск;A;2024-01-01;9999-12-31;1
S1055;8870912118;"АО ""ЭпсилонТех-55""";Екатеринбург;B;2024-01-01;9999-12-31;1
S1056;8238363683;"ПАО ""ВолгаТех-56""";Казань;C;2024-01-01;9999-12-31;1
S1057;7893336702;"ПАО ""ЭлектроМир-57""";Красноярск;C;2024-01-01;9999-12-31;1
S1058;6703117816;"ПАО ""Севергруз-58""";Красноярск;B;2024-01-01;9999-12-31;1
S1059;2876376128;"ООО ""Севергруз-59""";Казань;B;2024-01-01;9999-12-31;1
S1060;8376759633;"ООО ""ЭпсилонТех-60""";Ростов-на-Дону;B;2024-01-01;9999-12-31;1
S1061;2248071481;"ИП ""ПромСнаб-61""";Москва;C;2024-01-01;9999-12-31;1
S1062;6943791863;"АО ""ПромСнаб-62""";Красноярск;C;2024-01-01;9999-12-31;1
S1063;5200040610;"ПАО ""СибирьОпт-63""";Санкт-Петербург;B;2024-01-01;9999-12-31;1
S1064;3967359575;"ИП ""ВолгаТех-64""";Екатеринбург;C;2024-01-01;9999-12-31;1
S1065;5816509712;"АО ""ГидроПром-65""";Ростов-на-Дону;A;2024-01-01;9999-12-31;1
S1066;5944124879;"АО ""ВолгаТех-66""";Москва;A;2024-01-01;9999-12-31;1
S1067;3838939447;"ИП ""УралДеталь-67""";Екатеринбург;B;2024-01-01;9999-12-31;1
S1068;6899330264;"ИП ""УралДеталь-68""";Ростов-на-Дону;C;2024-01-01;9999-12-31;1
S1069;5108515536;"ПАО ""Севергруз-69""";Казань;B;2024-01-01;9999-12-31;1
S1070;2177052301;"АО ""МеталлТорг-70""";Новосибирск;A;2024-01-01;9999-12-31;1
S1071;6451166226;"ИП ""ГаммаПром-71""";Екатеринбург;A;2024-01-01;9999-12-31;1
S1072;1649173005;"ПАО ""ЭпсилонТех-72""";Казань;A;2024-01-01;9999-12-31;1
S1073;5550129760;"ИП ""АльфаСнаб-73""";Новосибирск;C;2024-01-01;9999-12-31;1
S1074;3183881606;"ООО ""ЭлектроМир-74""";Самара;B;2024-01-01;9999-12-31;1
S1075;6209425602;"ИП ""ПромСнаб-75""";Екатеринбург;C;2024-01-01;9999-12-31;1
S1076;4790839966;"ООО ""МеталлТорг-76""";Новосибирск;A;2024-01-01;9999-12-31;1
S1077;3342574841;"ИП ""ЭлектроМир-77""";Самара;B;2024-01-01;9999-12-31;1
S1078;8663952810;"ООО ""ДельтаЛогистик-78""";Новосибирск;C;2024-01-01;9999-12-31;1
S1079;5889752316;"ПАО ""ЭпсилонТех-79""";Ростов-на-Дону;B;2024-01-01;9999-12-31;1
S1080;2616661404;"ИП ""СибирьОпт-80""";Самара;C;2024-01-01;9999-12-31;1
S1081;9318288828;"АО ""ЭпсилонТех-81""";Москва;B;2024-01-01;9999-12-31;1
S1082;5486176086;"ПАО ""ГидроПром-82""";Ростов-на-Дону;C;2024-01-01;9999-12-31;1
S1083;9385317786;"ПАО ""ЭлектроМир-83""";Ростов-на-Дону;C;2024-01-01;9999-12-31;1
S1084;1328957857;"ИП ""ДельтаЛогистик-84""";Москва;B;2024-01-01;9999-12-31;1
S1085;1381538527;"ООО ""ПромСнаб-85""";Самара;B;2024-01-01;9999-12-31;1
S1086;1944444455;"АО ""ВолгаТех-86""";Красноярск;C;2024-01-01;9999-12-31;1
S1087;9370180664;"ООО ""СтанкоСервис-87""";Санкт-Петербург;A;2024-01-01;9999-12-31;1
S1088;2941331441;"ИП ""Севергруз-88""";Ростов-на-Дону;C;2024-01-01;9999-12-31;1
S1089;2477900690;"ПАО ""АльфаСнаб-89""";Екатеринбург;B;2024-01-01;9999-12-31;1
S1090;3281751713;"ООО ""БетаТрейд-90""";Ростов-на-Дону;A;2024-01-01;9999-12-31;1
S1091;3871944604;"ИП ""ТехКомплект-91""";Ростов-на-Дону;C;2024-01-01;9999-12-31;1
S1092;4707533344;"ООО ""МеталлТорг-92""";Красноярск;A;2024-01-01;9999-12-31;1
S1093;8269858197;"АО ""УралДеталь-93""";Москва;A;2024-01-01;9999-12-31;1
S1094;5862834378;"ПАО ""ТехКомплект-94""";Ростов-на-Дону;C;2024-01-01;9999-12-31;1
S1095;4893091195;"ПАО ""ЭлектроМир-95""";Новосибирск;B;2024-01-01;9999-12-31;1
S1096;3940742148;"ООО ""СибирьОпт-96""";Екатеринбург;A;2024-01-01;9999-12-31;1
S1097;3478634414;"ООО ""ВолгаТех-97""";Красноярск;A;2024-01-01;9999-12-31;1
S1098;5150285741;"ПАО ""СтанкоСервис-98""";Казань;C;2024-01-01;9999-12-31;1
S1099;5326315150;"АО ""ЭлектроМир-99""";Екатеринбург;B;2024-01-01;9999-12-31;1
S1100;2616565262;"ООО ""СтанкоСервис-100""";Санкт-Петербург;A;2024-01-01;9999-12-31;1
S1101;5660908709;"АО ""ЭлектроМир-101""";Санкт-Петербург;B;2024-01-01;9999-12-31;1
S1102;4129682292;"ООО ""СибирьОпт-102""";Ростов-на-Дону;C;2024-01-01;9999-12-31;1
S1103;4736069149;"ИП ""СибирьОпт-103""";Ростов-на-Дону;B;2024-01-01;9999-12-31;1
S1104;1171278872;"ИП ""ГидроПром-104""";Москва;A;2024-01-01;9999-12-31;1
S1105;4695450688;"АО ""АльфаСнаб-105""";Москва;B;2024-01-01;9999-12-31;1
S1106;6127484739;"ИП ""ТехКомплект-106""";Ростов-на-Дону;C;2024-01-01;9999-12-31;1
S1107;5096320205;"ПАО ""БетаТрейд-107""";Казань;A;2024-01-01;9999-12-31;1
S1108;7199635800;"ИП ""УралДеталь-108""";Казань;A;2024-01-01;9999-12-31;1
S1109;1575720309;"ПАО ""СибирьОпт-109""";Ростов-на-Дону;B;2024-01-01;9999-12-31;1
S1110;9439228389;"ООО ""ЭлектроМир-110""";Новосибирск;A;2024-01-01;9999-12-31;1
S1111;7497322282;"ООО ""СибирьОпт-111""";Красноярск;A;2024-01-01;9999-12-31;1
S1112;9583012527;"ПАО ""УралДеталь-112""";Екатеринбург;A;2024-01-01;9999-12-31;1
S1113;9062991254;"ПАО ""СтанкоСервис-113""";Санкт-Петербург;C;2024-01-01;9999-12-31;1
S1114;6505846279;"ИП ""СтанкоСервис-114""";Новосибирск;C;2024-01-01;9999-12-31;1
S1115;4054258644;"АО ""МеталлТорг-115""";Москва;C;2024-01-01;9999-12-31;1
S1116;6916520012;"ИП ""Севергруз-116""";Казань;B;2024-01-01;9999-12-31;1
S1117;6534526717;"ООО ""БетаТрейд-117""";Москва;A;2024-01-01;9999-12-31;1
S1118;1910495631;"ООО ""СтанкоСервис-118""";Казань;A;2024-01-01;9999-12-31;1
S1119;8333128511;"ИП ""СтанкоСервис-119""";Москва;A;2024-01-01;9999-12-31;1
S1120;6226202468;"ИП ""Севергруз-120""";Санкт-Петербург;A;2024-01-01;9999-12-31;1
S1121;7396573762;"ООО ""ПромСнаб-1""  ";Москва;B;2024-06-22;9999-12-31;1
S1122;7408027797;"ООО ""УралДеталь-8""  ";Москва;A;2024-09-01;9999-12-31;1
S1123;3556215410;"ООО ""СтанкоСервис-15""  ";Москва;C;2024-08-22;9999-12-31;1
S1124;5256420704;"ООО ""ГаммаПром-22""  ";Москва;B;2024-10-10;9999-12-31;1
S1125;1164438269;"ООО ""ЭпсилонТех-29""  ";Москва;A;2024-05-01;9999-12-31;1
S1126;9692833459;"ООО ""ЭлектроМир-36""  ";Москва;A;2024-04-22;9999-12-31;1
S1127;6824546805;"ООО ""ВолгаТех-43""  ";Москва;B;2024-05-20;9999-12-31;1
S1128;5386956634;"ООО ""ГидроПром-50""  ";Москва;C;2024-05-05;9999-12-31;1
