order_id;supplier_id;order_dttm_msk;currency;delivery_city;order_type
PO500041;S1092;2024-01-02 12:14:00;RUB;Пермь;Аварийная
PO500042;S1112;2024-01-02 11:39:00;RUB;Казань;Плановая
PO500043;S1004;2024-01-02 12:18:00;RUB;Москва;Аварийная
PO500044;S1061;2024-01-02 11:18:00;RUB;Екатеринбург;Срочная
PO500045;S1067;2024-01-02 15:29:00;RUB;Омск;Срочная
PO500046;S1102;2024-01-02 15:22:00;RUB;СПб;Плановая
PO500047;S1021;2024-01-02 08:53:00;RUB;Новосибирск;Срочная
PO500048;S1122;2024-01-02 16:39:00;RUB;Омск;Аварийная
PO500049;S1114;2024-01-02 10:45:00;RUB;Челябинск;Срочная
PO500050;S1044;2024-01-02 11:08:00;RUB;Екатеринбург;Срочная
PO500051;S1065;2024-01-02 11:14:00;USD;Челябинск;Срочная
PO500052;S1114;2024-01-02 16:09:00;RUB;Челябинск;Аварийная
PO500053;S1073;2024-01-02 14:14:00;USD;Челябинск;Аварийная
PO500054;S1072;2024-01-02 13:45:00;RUB;Тюмень;Аварийная
PO500055;S1046;2024-01-02 08:55:00;USD;Пермь;Плановая
PO500056;S1030;2024-01-02 15:22:00;RUB;Тюмень;Аварийная
PO500057;S1077;2024-01-02 11:39:00;CNY;Омск;Аварийная
PO500058;S1018;2024-01-02 10:03:00;RUB;Омск;Плановая
PO500059;S1056;2024-01-02 17:46:00;RUB;Казань;Аварийная
PO500060;S1082;2024-01-02 16:16:00;RUB;СПб;Плановая
PO500061;S1094;2024-01-02 10:10:00;RUB;Челябинск;Плановая
PO500062;S1084;2024-01-03 19:21:00;RUB;Пермь;Срочная
PO500063;S1062;2024-01-03 08:33:00;CNY;Москва;Срочная
PO500064;S1064;2024-01-03 18:11:00;RUB;Пермь;Аварийная
PO500065;S1079;2024-01-03 12:19:00;RUB;Казань;Плановая
PO500066;S1070;2024-01-03 15:52:00;USD;Екатеринбург;Плановая
PO500067;S1094;2024-01-03 08:19:00;RUB;Ростов;Срочная
PO500068;S1033;2024-01-03 13:30:00;RUB;Екатеринбург;Срочная
PO500069;S1113;2024-01-03 13:44:00;RUB;Уфа;Аварийная
PO500070;S1123;2024-01-03 15:59:00;RUB;СПб;Аварийная
PO500071;S1068;2024-01-03 17:24:00;CNY;Екатеринбург;Срочная
PO500072;S1123;2024-01-03 08:14:00;RUB;Новосибирск;Срочная
PO500073;S1043;2024-01-03 11:06:00;CNY;СПб;Плановая
PO500074;S1123;2024-01-03 10:50:00;RUB;Казань;Аварийная
PO500075;S1012;2024-01-03 13:12:00;RUB;Омск;Срочная
PO500076;S1087;2024-01-03 12:01:00;RUB;Челябинск;Аварийная
PO500077;S1013;2024-01-03 08:50:00;USD;СПб;Плановая
PO500078;S1071;2024-01-03 09:31:00;RUB;Казань;Срочная
PO500079;S1077;2024-01-03 18:15:00;RUB;Ростов;Плановая
PO500080;S1068;2024-01-03 09:40:00;RUB;Самара;Плановая
PO500081;S1010;2024-01-03 19:12:00;USD;Самара;Аварийная
PO500082;S1017;2024-01-03 09:20:00;RUB;Челябинск;Срочная
PO500083;S1035;2024-01-03 18:03:00;RUB;Екатеринбург;Аварийная
PO500084;S1099;2024-01-03 12:51:00;RUB;Тюмень;Аварийная
PO500085;S1063;2024-01-03 13:11:00;RUB;СПб;Аварийная
PO500086;S1013;2024-01-03 16:52:00;RUB;Ростов;Срочная
PO500087;S1057;2024-01-03 12:12:00;RUB;Самара;Плановая
PO500088;S1091;2024-01-04 10:22:00;RUB;Москва;Срочная
PO500089;S1091;2024-01-04 17:08:00;CNY;Ростов;Аварийная
PO500090;S1005;2024-01-04 08:30:00;USD;Самара;Плановая
PO500091;S1118;2024-01-04 08:09:00;RUB;Екатеринбург;Аварийная
PO500092;S1082;2024-01-04 13:06:00;RUB;Самара;Аварийная
PO500093;S1010;2024-01-04 12:28:00;RUB;СПб;Срочная
PO500094;S1087;2024-01-04 09:38:00;RUB;Екатеринбург;Срочная
PO500095;S1006;2024-01-04 18:04:00;RUB;Самара;Срочная
PO500096;S1058;2024-01-04 14:00:00;USD;Тюмень;Аварийная
PO500097;S1054;2024-01-04 17:37:00;USD;Ростов;Срочная
PO500098;S1017;2024-01-04 19:09:00;RUB;СПб;Аварийная
PO500099;S1095;2024-01-04 11:17:00;RUB;Новосибирск;Аварийная
PO500100;S1024;2024-01-04 18:13:00;RUB;Пермь;Аварийная
PO500101;S1038;2024-01-04 13:02:00;RUB;Тюмень;Срочная
PO500102;S1127;2024-01-04 14:46:00;RUB;Москва;Плановая
PO500103;S1092;2024-01-04 18:32:00;RUB;Тюмень;Плановая
PO500104;S1041;2024-01-04 17:00:00;RUB;Новосибирск;Аварийная
PO500105;S1064;2024-01-04 17:24:00;CNY;Самара;Срочная
PO500106;S1094;2024-01-04 09:05:00;RUB;Уфа;Срочная
PO500107;S1104;2024-01-04 12:48:00;RUB;СПб;Срочная
PO500108;S1026;2024-01-04 10:01:00;RUB;Новосибирск;Аварийная
PO500109;S1091;2024-01-04 09:50:00;RUB;Челябинск;Срочная
PO500110;S1064;2024-01-04 19:14:00;RUB;Уфа;Срочная
PO500111;S1012;2024-01-04 15:07:00;RUB;Челябинск;Срочная
PO500112;S1073;2024-01-04 14:02:00;RUB;Пермь;Плановая
PO500113;S1119;2024-01-04 19:24:00;RUB;Новосибирск;Плановая
PO500114;S1010;2024-01-04 19:42:00;RUB;Тюмень;Срочная
PO500115;S1064;2024-01-05 12:27:00;USD;СПб;Срочная
PO500116;S1127;2024-01-05 19:13:00;RUB;СПб;Аварийная
PO500117;S1119;2024-01-05 17:48:00;RUB;Уфа;Плановая
PO500118;S1005;2024-01-05 17:30:00;CNY;Москва;Плановая
PO500119;S1004;2024-01-05 17:18:00;CNY;Уфа;Плановая
PO500120;S1112;2024-01-05 14:48:00;RUB;Самара;Аварийная
PO500121;S1071;2024-01-05 18:07:00;RUB;СПб;Срочная
PO500122;S1080;2024-01-05 16:35:00;RUB;Уфа;Срочная
PO500123;S1008;2024-01-05 19:22:00;RUB;Омск;Аварийная
PO500124;S1054;2024-01-05 16:18:00;RUB;Казань;Аварийная
PO500125;S1044;2024-01-05 09:22:00;USD;Уфа;Аварийная
PO500126;S1053;2024-01-05 15:04:00;RUB;Самара;Плановая
PO500127;S1094;2024-01-05 08:53:00;RUB;Тюмень;Аварийная
PO500128;S1005;2024-01-05 10:02:00;RUB;Екатеринбург;Срочная
PO500129;S1019;2024-01-05 18:18:00;RUB;Пермь;Плановая
PO500130;S1105;2024-01-05 10:25:00;USD;Казань;Срочная
PO500131;S1093;2024-01-05 08:12:00;RUB;Екатеринбург;Плановая
PO500132;S1071;2024-01-05 13:53:00;RUB;Уфа;Срочная
PO500133;S1111;2024-01-05 09:42:00;RUB;Новосибирск;Аварийная
PO500134;S1037;2024-01-05 10:12:00;RUB;Пермь;Срочная
PO500135;S1075;2024-01-05 12:28:00;RUB;Москва;Срочная
PO500136;S1117;2024-01-05 16:47:00;CNY;Челябинск;Плановая
PO500137;S1102;2024-01-05 16:32:00;RUB;Казань;Плановая
PO500138;S1128;2024-01-05 11:15:00;RUB;СПб;Плановая
PO500139;S1069;2024-01-05 12:29:00;RUB;Новосибирск;Плановая
PO500140;S1051;2024-01-05 11:41:00;RUB;Ростов;Плановая
PO500141;S1089;2024-01-05 16:00:00;RUB;Екатеринбург;Аварийная
PO500142;S1016;2024-01-05 18:04:00;RUB;Омск;Плановая
PO500143;S1127;2024-01-05 10:29:00;RUB;СПб;Срочная
PO500144;S1015;2024-01-05 11:47:00;RUB;Москва;Срочная
PO500145;S1006;2024-01-05 12:41:00;RUB;Челябинск;Аварийная
PO500146;S1005;2024-01-05 10:30:00;RUB;Тюмень;Плановая
PO500147;S1109;2024-01-05 16:21:00;CNY;Казань;Плановая
PO500148;S1088;2024-01-05 19:27:00;RUB;СПб;Плановая
PO500149;S1009;2024-01-05 15:17:00;RUB;Екатеринбург;Срочная
PO500150;S1062;2024-01-06 13:46:00;RUB;Челябинск;Плановая
PO500151;S1116;2024-01-06 10:34:00;RUB;Пермь;Плановая
PO500152;S1117;2024-01-06 12:32:00;RUB;Челябинск;Плановая
PO500153;S1010;2024-01-06 19:50:00;RUB;СПб;Срочная
PO500154;S1091;2024-01-06 18:09:00;RUB;Самара;Аварийная
PO500155;S1073;2024-01-06 09:41:00;RUB;Москва;Аварийная
PO500156;S1128;2024-01-07 16:39:00;RUB;Екатеринбург;Плановая
PO500157;S1054;2024-01-07 09:12:00;RUB;Челябинск;Аварийная
PO500158;S1121;2024-01-07 19:01:00;RUB;Москва;Плановая
PO500159;S1113;2024-01-07 18:41:00;RUB;Пермь;Срочная
PO500160;S1038;2024-01-07 08:36:00;RUB;Новосибирск;Аварийная
PO500161;S1010;2024-01-07 08:20:00;RUB;Москва;Срочная
PO500162;S1105;2024-01-07 14:21:00;RUB;Омск;Плановая
PO500163;S1032;2024-01-07 11:46:00;USD;Новосибирск;Аварийная
PO500164;S1016;2024-01-08 14:28:00;RUB;Екатеринбург;Аварийная
PO500165;S1002;2024-01-08 11:08:00;RUB;Челябинск;Аварийная
PO500166;S1001;2024-01-08 13:59:00;USD;СПб;Плановая
PO500167;S1041;2024-01-08 14:09:00;RUB;Новосибирск;Аварийная
PO500168;S1064;2024-01-08 10:58:00;RUB;Новосибирск;Срочная
PO500169;S1047;2024-01-08 18:38:00;USD;Новосибирск;Срочная
PO500170;S1105;2024-01-08 11:29:00;RUB;Новосибирск;Срочная
PO500171;S1049;2024-01-08 19:19:00;RUB;Новосибирск;Срочная
PO500172;S1050;2024-01-08 16:02:00;RUB;Тюмень;Аварийная
PO500173;S1063;2024-01-08 15:39:00;RUB;Самара;Срочная
PO500174;S1120;2024-01-08 09:27:00;CNY;Уфа;Плановая
PO500175;S1021;2024-01-08 19:19:00;RUB;Омск;Аварийная
PO500176;S1108;2024-01-08 19:30:00;RUB;Челябинск;Аварийная
PO500177;S1049;2024-01-08 14:59:00;RUB;Москва;Аварийная
PO500178;S1056;2024-01-08 13:08:00;RUB;Челябинск;Срочная
PO500179;S1025;2024-01-08 17:30:00;RUB;Тюмень;Аварийная
PO500180;S1004;2024-01-08 10:09:00;RUB;Самара;Плановая
PO500181;S1017;2024-01-08 10:18:00;RUB;Тюмень;Плановая
PO500182;S1084;2024-01-08 09:00:00;RUB;Ростов;Аварийная
PO500183;S1054;2024-01-08 11:10:00;CNY;Ростов;Плановая
PO500184;S1024;2024-01-08 08:27:00;USD;СПб;Плановая
PO500185;S1036;2024-01-08 15:41:00;USD;Пермь;Аварийная
PO500186;S1101;2024-01-08 10:39:00;RUB;Самара;Аварийная
PO500187;S1102;2024-01-08 12:43:00;RUB;Новосибирск;Плановая
PO500188;S1099;2024-01-08 17:34:00;RUB;Омск;Плановая
PO500189;S1010;2024-01-08 18:49:00;RUB;Омск;Срочная
PO500190;S1016;2024-01-08 18:14:00;RUB;Самара;Плановая
PO500191;S1126;2024-01-09 10:45:00;RUB;Ростов;Плановая
PO500192;S1040;2024-01-09 11:44:00;RUB;Новосибирск;Срочная
PO500193;S1104;2024-01-09 13:22:00;RUB;Уфа;Плановая
PO500194;S1124;2024-01-09 08:31:00;RUB;СПб;Аварийная
PO500195;S1081;2024-01-09 11:40:00;USD;Москва;Срочная
PO500196;S1050;2024-01-09 11:46:00;RUB;Москва;Аварийная
PO500197;S1088;2024-01-09 18:56:00;RUB;Уфа;Срочная
PO500198;S1017;2024-01-09 17:12:00;RUB;Челябинск;Срочная
PO500199;S1037;2024-01-09 16:51:00;RUB;Москва;Плановая
PO500200;S1024;2024-01-09 15:12:00;RUB;Уфа;Срочная
PO500201;S1112;2024-01-09 08:53:00;RUB;Омск;Аварийная
PO500202;S1037;2024-01-09 11:35:00;RUB;Екатеринбург;Срочная
PO500203;S1068;2024-01-09 12:05:00;RUB;Уфа;Аварийная
PO500204;S1025;2024-01-09 18:37:00;RUB;СПб;Плановая
PO500205;S1113;2024-01-09 09:23:00;RUB;Москва;Срочная
PO500206;S1029;2024-01-09 17:39:00;RUB;Уфа;Плановая
PO500207;S1042;2024-01-09 08:25:00;RUB;СПб;Плановая
PO500208;S1059;2024-01-09 11:57:00;RUB;Самара;Плановая
PO500209;S1073;2024-01-09 10:47:00;RUB;Омск;Аварийная
PO500210;S1105;2024-01-09 13:20:00;RUB;Тюмень;Плановая
PO500211;S1069;2024-01-09 15:04:00;RUB;Ростов;Аварийная
PO500212;S1048;2024-01-09 09:44:00;RUB;Казань;Плановая
PO500213;S1047;2024-01-09 19:40:00;USD;Пермь;Аварийная
PO500214;S1115;2024-01-09 13:24:00;RUB;Омск;Срочная
PO500215;S1009;2024-01-10 14:11:00;RUB;Москва;Плановая
PO500216;S1060;2024-01-10 12:46:00;USD;Новосибирск;Срочная
PO500217;S1101;2024-01-10 14:59:00;RUB;Тюмень;Плановая
PO500218;S1092;2024-01-10 10:57:00;RUB;Казань;Плановая
PO500219;S1023;2024-01-10 10:20:00;RUB;Москва;Плановая
PO500220;S1085;2024-01-10 08:39:00;RUB;Уфа;Аварийная
PO500221;S1087;2024-01-10 10:41:00;USD;Новосибирск;Аварийная
PO500222;S1088;2024-01-10 19:48:00;RUB;Екатеринбург;Плановая
PO500223;S1115;2024-01-10 09:07:00;RUB;Самара;Аварийная
PO500224;S1116;2024-01-10 15:19:00;CNY;Казань;Срочная
PO500225;S1119;2024-01-10 17:59:00;USD;Уфа;Срочная
PO500226;S1088;2024-01-10 17:01:00;RUB;Ростов;Срочная
PO500227;S1058;2024-01-10 11:01:00;RUB;Ростов;Срочная
PO500228;S1026;2024-01-10 10:43:00;RUB;СПб;Аварийная
PO500229;S1076;2024-01-10 17:21:00;RUB;СПб;Аварийная
PO500230;S1063;2024-01-10 15:59:00;RUB;Омск;Срочная
PO500231;S1111;2024-01-10 09:11:00;RUB;Пермь;Срочная
PO500232;S1025;2024-01-10 17:42:00;RUB;Казань;Плановая
PO500233;S1025;2024-01-10 11:16:00;RUB;Тюмень;Плановая
PO500234;S1065;2024-01-10 15:45:00;RUB;Москва;Плановая
PO500235;S1099;2024-01-10 15:09:00;RUB;Ростов;Срочная
PO500236;S1049;2024-01-10 14:22:00;RUB;Новосибирск;Аварийная
PO500237;S1127;2024-01-10 08:57:00;RUB;Екатеринбург;Срочная
PO500238;S1013;2024-01-10 17:40:00;RUB;Пермь;Плановая
PO500239;S1076;2024-01-10 10:43:00;RUB;Челябинск;Срочная
PO500240;S1117;2024-01-10 13:28:00;RUB;Самара;Аварийная
PO500241;S1041;2024-01-10 10:15:00;RUB;Ростов;Плановая
PO500242;S1064;2024-01-10 15:48:00;RUB;Уфа;Срочная
PO500243;S1128;2024-01-10 19:36:00;RUB;Новосибирск;Аварийная
PO500244;S1021;2024-01-10 08:40:00;RUB;Москва;Плановая
PO500245;S1115;2024-01-10 10:47:00;RUB;Ростов;Срочная
PO500246;S1111;2024-01-11 15:27:00;CNY;Уфа;Аварийная
PO500247;S1037;2024-01-11 16:39:00;RUB;Казань;Срочная
PO500248;S1069;2024-01-11 11:07:00;RUB;Тюмень;Срочная
PO500249;S1086;2024-01-11 19:10:00;RUB;Самара;Плановая
PO500250;S1015;2024-01-11 16:51:00;RUB;Челябинск;Плановая
PO500251;S1088;2024-01-11 10:04:00;RUB;Екатеринбург;Плановая
PO500252;S1093;2024-01-11 17:31:00;RUB;Екатеринбург;Плановая
PO500253;S1013;2024-01-11 17:10:00;RUB;Новосибирск;Срочная
PO500254;S1012;2024-01-11 09:47:00;RUB;Челябинск;Срочная
PO500255;S1021;2024-01-11 08:02:00;RUB;Тюмень;Аварийная
PO500256;S1057;2024-01-11 08:01:00;RUB;Москва;Аварийная
PO500257;S1028;2024-01-11 11:28:00;RUB;Екатеринбург;Срочная
PO500258;S1007;2024-01-11 10:42:00;RUB;Москва;Плановая
PO500259;S1056;2024-01-11 14:56:00;RUB;Москва;Аварийная
PO500260;S1018;2024-01-11 09:25:00;USD;Уфа;Аварийная
PO500261;S1025;2024-01-11 08:45:00;RUB;Казань;Срочная
PO500262;S1107;2024-01-11 14:25:00;RUB;Самара;Плановая
PO500263;S1082;2024-01-11 13:36:00;USD;Уфа;Аварийная
PO500264;S1121;2024-01-11 13:55:00;RUB;Пермь;Аварийная
PO500265;S1039;2024-01-11 17:11:00;RUB;Екатеринбург;Аварийная
PO500266;S1125;2024-01-11 15:23:00;RUB;Казань;Срочная
PO500267;S1123;2024-01-11 15:42:00;RUB;Ростов;Аварийная
PO500268;S1017;2024-01-11 18:31:00;RUB;Москва;Плановая
PO500269;S1103;2024-01-12 18:05:00;RUB;Самара;Плановая
PO500270;S1022;2024-01-12 17:36:00;CNY;Тюмень;Аварийная
PO500271;S1102;2024-01-12 09:32:00;RUB;Челябинск;Плановая
PO500272;S1027;2024-01-12 12:18:00;RUB;Ростов;Срочная
PO500273;S1064;2024-01-12 12:17:00;RUB;СПб;Плановая
PO500274;S1113;2024-01-12 14:29:00;RUB;Омск;Плановая
PO500275;S1016;2024-01-12 10:50:00;RUB;Новосибирск;Срочная
PO500276;S1080;2024-01-12 08:33:00;RUB;Москва;Срочная
PO500277;S1081;2024-01-12 15:26:00;RUB;Тюмень;Срочная
PO500278;S1005;2024-01-12 08:31:00;USD;СПб;Срочная
PO500279;S1001;2024-01-12 13:47:00;RUB;Новосибирск;Срочная
PO500280;S1095;2024-01-12 16:36:00;RUB;Тюмень;Срочная
PO500281;S1070;2024-01-12 14:06:00;RUB;Ростов;Аварийная
PO500282;S1008;2024-01-12 16:40:00;RUB;Москва;Аварийная
PO500283;S1085;2024-01-12 16:13:00;RUB;Москва;Аварийная
PO500284;S1116;2024-01-12 19:41:00;CNY;Тюмень;Плановая
PO500285;S1019;2024-01-12 18:37:00;RUB;Екатеринбург;Плановая
PO500286;S1118;2024-01-12 13:13:00;RUB;Екатеринбург;Плановая
PO500287;S1029;2024-01-12 18:08:00;RUB;Челябинск;Аварийная
PO500288;S1114;2024-01-12 08:46:00;USD;Ростов;Плановая
PO500289;S1103;2024-01-12 16:54:00;RUB;Омск;Срочная
PO500290;S1064;2024-01-12 13:58:00;RUB;Уфа;Срочная
PO500291;S1012;2024-01-12 17:13:00;RUB;Новосибирск;Аварийная
PO500292;S1041;2024-01-13 17:14:00;RUB;Ростов;Срочная
PO500293;S1083;2024-01-13 10:03:00;RUB;Уфа;Срочная
PO500294;S1033;2024-01-13 12:12:00;RUB;Тюмень;Плановая
PO500295;S1018;2024-01-13 11:42:00;RUB;Пермь;Аварийная
PO500296;S1008;2024-01-13 15:44:00;RUB;Новосибирск;Срочная
PO500297;S1052;2024-01-13 08:32:00;CNY;Новосибирск;Срочная
PO500298;S1095;2024-01-13 15:39:00;RUB;Тюмень;Аварийная
PO500299;S1072;2024-01-13 08:32:00;RUB;Пермь;Аварийная
PO500300;S1033;2024-01-13 09:47:00;RUB;Уфа;Срочная
PO500301;S1105;2024-01-13 16:18:00;RUB;Уфа;Плановая
PO500302;S1001;2024-01-14 15:44:00;RUB;Уфа;Срочная
PO500303;S1067;2024-01-14 08:53:00;RUB;Челябинск;Плановая
PO500304;S1093;2024-01-14 15:46:00;RUB;Челябинск;Аварийная
PO500305;S1105;2024-01-14 15:57:00;RUB;Екатеринбург;Плановая
PO500306;S1025;2024-01-14 08:34:00;RUB;Уфа;Аварийная
PO500307;S1032;2024-01-15 10:11:00;RUB;Новосибирск;Аварийная
PO500308;S1051;2024-01-15 11:56:00;USD;СПб;Аварийная
PO500309;S1112;2024-01-15 15:28:00;RUB;Казань;Аварийная
PO500310;S1027;2024-01-15 11:33:00;RUB;Омск;Срочная
PO500311;S1094;2024-01-15 08:48:00;RUB;Казань;Плановая
PO500312;S1052;2024-01-15 15:16:00;USD;Уфа;Срочная
PO500313;S1034;2024-01-15 14:51:00;RUB;Новосибирск;Плановая
PO500314;S1064;2024-01-15 12:23:00;RUB;Екатеринбург;Аварийная
PO500315;S1081;2024-01-15 09:32:00;RUB;Екатеринбург;Плановая
PO500316;S1004;2024-01-15 15:50:00;RUB;Уфа;Плановая
PO500317;S1090;2024-01-15 13:33:00;RUB;Пермь;Плановая
PO500318;S1012;2024-01-15 19:10:00;RUB;Самара;Аварийная
PO500319;S1097;2024-01-15 17:13:00;RUB;Тюмень;Аварийная
PO500320;S1091;2024-01-15 16:04:00;RUB;Уфа;Плановая
PO500321;S1036;2024-01-15 12:44:00;RUB;Омск;Срочная
PO500322;S1033;2024-01-15 12:38:00;RUB;Ростов;Срочная
PO500323;S1085;2024-01-15 11:48:00;RUB;Новосибирск;Плановая
PO500324;S1018;2024-01-15 08:05:00;RUB;Казань;Аварийная
PO500325;S1125;2024-01-16 11:15:00;RUB;Пермь;Плановая
PO500326;S1104;2024-01-16 18:38:00;RUB;Омск;Аварийная
PO500327;S1128;2024-01-16 16:28:00;RUB;Москва;Аварийная
PO500328;S1111;2024-01-16 08:14:00;RUB;Челябинск;Плановая
PO500329;S1040;2024-01-16 11:37:00;RUB;Тюмень;Срочная
PO500330;S1038;2024-01-16 18:18:00;RUB;Омск;Плановая
PO500331;S1114;2024-01-16 08:38:00;RUB;СПб;Срочная
PO500332;S1127;2024-01-16 19:28:00;RUB;Тюмень;Аварийная
PO500333;S1024;2024-01-16 08:21:00;RUB;Челябинск;Срочная
PO500334;S1121;2024-01-16 17:07:00;RUB;Ростов;Аварийная
PO500335;S1120;2024-01-16 16:18:00;RUB;Омск;Плановая
PO500336;S1044;2024-01-16 18:27:00;RUB;Челябинск;Аварийная
PO500337;S1064;2024-01-16 19:33:00;RUB;Москва;Срочная
PO500338;S1039;2024-01-16 19:16:00;CNY;Казань;Срочная
PO500339;S1079;2024-01-16 18:19:00;RUB;Пермь;Плановая
PO500340;S1091;2024-01-16 19:58:00;RUB;Пермь;Плановая
PO500341;S1084;2024-01-16 14:08:00;RUB;Москва;Плановая
PO500342;S1045;2024-01-16 11:17:00;RUB;СПб;Плановая
PO500343;S1086;2024-01-16 14:06:00;RUB;СПб;Срочная
PO500344;S1116;2024-01-16 14:05:00;RUB;Новосибирск;Аварийная
PO500345;S1061;2024-01-16 18:55:00;RUB;Уфа;Срочная
PO500346;S1112;2024-01-16 14:39:00;RUB;Пермь;Плановая
PO500347;S1041;2024-01-16 11:43:00;USD;СПб;Плановая
PO500348;S1072;2024-01-16 11:01:00;RUB;Ростов;Плановая
PO500349;S1043;2024-01-16 19:17:00;RUB;Ростов;Срочная
PO500350;S1064;2024-01-17 15:28:00;RUB;Екатеринбург;Плановая
PO500351;S1058;2024-01-17 17:21:00;RUB;Челябинск;Срочная
PO500352;S1094;2024-01-17 10:58:00;RUB;Ростов;Аварийная
PO500353;S1065;2024-01-17 15:57:00;RUB;Тюмень;Аварийная
PO500354;S1046;2024-01-17 08:20:00;RUB;Москва;Срочная
PO500355;S1006;2024-01-17 16:31:00;RUB;Челябинск;Срочная
PO500356;S1128;2024-01-17 10:04:00;RUB;Новосибирск;Плановая
PO500357;S1054;2024-01-17 11:16:00;USD;Самара;Плановая
PO500358;S1083;2024-01-17 09:27:00;USD;Ростов;Аварийная
PO500359;S1004;2024-01-17 15:26:00;CNY;Омск;Срочная
PO500360;S1032;2024-01-17 15:56:00;RUB;Челябинск;Аварийная
PO500361;S1101;2024-01-17 19:29:00;RUB;Челябинск;Аварийная
PO500362;S1041;2024-01-17 08:57:00;RUB;Тюмень;Срочная
PO500363;S1081;2024-01-17 10:16:00;RUB;Новосибирск;Срочная
PO500364;S1041;2024-01-17 19:54:00;RUB;Самара;Срочная
PO500365;S1029;2024-01-17 18:40:00;RUB;Уфа;Плановая
PO500366;S1118;2024-01-17 17:11:00;RUB;Казань;Аварийная
PO500367;S1060;2024-01-17 13:23:00;USD;Пермь;Плановая
PO500368;S1056;2024-01-17 16:22:00;CNY;Казань;Аварийная
PO500369;S1019;2024-01-17 19:41:00;RUB;Уфа;Плановая
PO500370;S1015;2024-01-17 09:10:00;RUB;Самара;Плановая
PO500371;S1044;2024-01-17 08:00:00;CNY;Самара;Аварийная
PO500372;S1118;2024-01-17 08:55:00;USD;Ростов;Срочная
PO500373;S1020;2024-01-17 14:54:00;RUB;Москва;Аварийная
PO500374;S1008;2024-01-17 09:20:00;RUB;Уфа;Аварийная
PO500375;S1128;2024-01-17 18:23:00;RUB;Омск;Срочная
PO500376;S1013;2024-01-17 08:00:00;RUB;Новосибирск;Плановая
PO500377;S1083;2024-01-18 09:04:00;RUB;Казань;Плановая
PO500378;S1093;2024-01-18 19:32:00;RUB;Казань;Срочная
PO500379;S1012;2024-01-18 17:11:00;RUB;Казань;Аварийная
PO500380;S1064;2024-01-18 19:47:00;RUB;Пермь;Аварийная
PO500381;S1071;2024-01-18 09:17:00;USD;Ростов;Плановая
PO500382;S1006;2024-01-18 19:28:00;RUB;Екатеринбург;Срочная
