category,rank_in_category,supplier_name,inn,reliability_class,supplier_amount_rub,lines_cnt,share_pct,cum_share_pct,category_amount_rub,suppliers_in_category,suppliers_for_80pct,pct_of_suppliers_for_80pct
Инструмент,115,"ИП ""ТехКомплект-106""",6127484739,C,45521797.94,21,0.5047,97.6115,9020026111.62,120,86,71.7
Инструмент,116,"ПАО ""ДельтаЛогистик-7 Групп""",9648479014,B,45247914.22,35,0.5016,98.1131,9020026111.62,120,86,71.7
Инструмент,117,"ООО ""СтанкоСервис-100""",2616565262,A,45094669.61,29,0.4999,98.6130,9020026111.62,120,86,71.7
Инструмент,118,"ПАО ""УралДеталь-52""",8347640543,C,44938141.30,30,0.4982,99.1113,9020026111.62,120,86,71.7
Инструмент,119,"ИП ""Севергруз-116""",6916520012,B,43905842.26,25,0.4868,99.5980,9020026111.62,120,86,71.7
Инструмент,120,"ООО ""МеталлТорг-76""",4790839966,A,36259575.51,23,0.4020,100.0000,9020026111.62,120,86,71.7
Кабель,1,"ООО ""ГидроПром-15 Групп""",3556215410,C,184182541.50,83,2.0521,2.0521,8975203160.71,120,88,73.3
Кабель,2,"ООО ""ГидроПром-50""",5386956634,C,149778809.22,86,1.6688,3.7209,8975203160.71,120,88,73.3
Кабель,3,"ООО ""ВолгаТех-43""",6824546805,B,147011125.55,76,1.6380,5.3589,8975203160.71,120,88,73.3
Кабель,4,"ООО ""ЭлектроМир-36""",9692833459,A,139051392.05,82,1.5493,6.9082,8975203160.71,120,88,73.3
Кабель,5,"ООО ""ГаммаПром-22""",5256420704,B,126121210.40,68,1.4052,8.3134,8975203160.71,120,88,73.3
Кабель,6,"ПАО ""ГаммаПром-4 Групп""",1026220989,B,125121077.98,49,1.3941,9.7075,8975203160.71,120,88,73.3
Кабель,7,"ООО ""ЭпсилонТех-29""",1164438269,A,124826086.62,77,1.3908,11.0983,8975203160.71,120,88,73.3
Кабель,8,"АО ""ВолгаТех-1 Групп""",7396573762,B,124052672.14,64,1.3822,12.4804,8975203160.71,120,88,73.3
Кабель,9,"АО ""ТехКомплект-8 Групп""",7408027797,C,115652546.05,67,1.2886,13.7690,8975203160.71,120,88,73.3
Кабель,10,"ИП ""ЭпсилонТех-14 Групп""",7761929248,B,103806257.56,37,1.1566,14.9256,8975203160.71,120,88,73.3
Кабель,11,"ИП ""ЭпсилонТех-51""",2183066432,A,102062423.11,47,1.1372,16.0628,8975203160.71,120,88,73.3
Кабель,12,"ООО ""ДельтаЛогистик-48""",6729556589,B,98068917.21,39,1.0927,17.1554,8975203160.71,120,88,73.3
Кабель,13,"АО ""СтанкоСервис-34""",7614642252,A,96751455.24,39,1.0780,18.2334,8975203160.71,120,88,73.3
Кабель,14,"ПАО ""ЭпсилонТех-72""",1649173005,A,96268466.81,47,1.0726,19.3060,8975203160.71,120,88,73.3
Кабель,15,"ПАО ""Севергруз-69""",5108515536,B,95027859.48,39,1.0588,20.3648,8975203160.71,120,88,73.3
Кабель,16,"ООО ""СибирьОпт-111""",7497322282,A,93786709.05,39,1.0450,21.4098,8975203160.71,120,88,73.3
Кабель,17,"АО ""ТехКомплект-53""",9971592644,A,93627685.94,43,1.0432,22.4529,8975203160.71,120,88,73.3
Кабель,18,"ООО ""СтанкоСервис-87""",9370180664,A,92701053.90,43,1.0329,23.4858,8975203160.71,120,88,73.3
Кабель,19,"ООО ""ТехКомплект-45""",9678016609,C,92327709.94,43,1.0287,24.5145,8975203160.71,120,88,73.3
Кабель,20,"ООО ""ЭпсилонТех-60""",8376759633,B,90877134.64,40,1.0125,25.5270,8975203160.71,120,88,73.3
Кабель,21,"ПАО ""АльфаСнаб-12 Групп""",6224825860,A,90023243.05,43,1.0030,26.5301,8975203160.71,120,88,73.3
Кабель,22,"ПАО ""ГаммаПром-13 Групп""",7679741117,A,89960555.55,42,1.0023,27.5324,8975203160.71,120,88,73.3
Кабель,23,"ИП ""АльфаСнаб-25""",4236183119,C,88120485.88,44,0.9818,28.5142,8975203160.71,120,88,73.3
Кабель,24,"ООО ""БетаТрейд-117""",6534526717,A,87670824.09,43,0.9768,29.4910,8975203160.71,120,88,73.3
Кабель,25,"АО ""ВолгаТех-66""",5944124879,A,87655976.30,35,0.9766,30.4677,8975203160.71,120,88,73.3
Кабель,26,"ИП ""ПромСнаб-75""",6209425602,C,87590746.55,42,0.9759,31.4436,8975203160.71,120,88,73.3
Кабель,27,"ООО ""ЭлектроМир-74""",3183881606,B,87158493.00,42,0.9711,32.4147,8975203160.71,120,88,73.3
Кабель,28,"ООО ""Севергруз-20""",9756965410,B,85610397.28,39,0.9539,33.3685,8975203160.71,120,88,73.3
Кабель,29,"ПАО ""СибирьОпт-63""",5200040610,B,85594728.59,44,0.9537,34.3222,8975203160.71,120,88,73.3
Кабель,30,"ООО ""ВолгаТех-97""",3478634414,A,84605060.52,43,0.9427,35.2649,8975203160.71,120,88,73.3
Кабель,31,"ПАО ""ГидроПром-82""",5486176086,C,82793479.02,42,0.9225,36.1873,8975203160.71,120,88,73.3
Кабель,32,"ИП ""ПромСнаб-30""",9330400329,A,82736928.98,37,0.9218,37.1092,8975203160.71,120,88,73.3
Кабель,33,"АО ""ЭпсилонТех-81""",9318288828,B,82621734.70,42,0.9206,38.0297,8975203160.71,120,88,73.3
Кабель,34,"ПАО ""Севергруз-32""",4848744976,A,81728550.20,37,0.9106,38.9403,8975203160.71,120,88,73.3
Кабель,35,"ИП ""БетаТрейд-27""",9604015376,A,81258488.52,48,0.9054,39.8457,8975203160.71,120,88,73.3
Кабель,36,"АО ""ЭлектроМир-99""",5326315150,B,80328559.01,41,0.8950,40.7407,8975203160.71,120,88,73.3
Кабель,37,"ИП ""ВолгаТех-64""",3967359575,C,78420438.63,43,0.8737,41.6145,8975203160.71,120,88,73.3
Кабель,38,"ПАО ""ЭпсилонТех-16""",3879955568,A,78266790.90,38,0.8720,42.4865,8975203160.71,120,88,73.3
Кабель,39,"АО ""ЭпсилонТех-55""",8870912118,B,78232952.76,36,0.8717,43.3581,8975203160.71,120,88,73.3
Кабель,40,"АО ""ЭлектроМир-101""",5660908709,B,77855030.05,40,0.8674,44.2256,8975203160.71,120,88,73.3
Кабель,41,"ИП ""ТехКомплект-91""",3871944604,C,77819298.22,34,0.8670,45.0926,8975203160.71,120,88,73.3
Кабель,42,"ИП ""ГидроПром-104""",1171278872,A,77216944.89,40,0.8603,45.9530,8975203160.71,120,88,73.3
Кабель,43,"ИП ""Севергруз-120""",6226202468,A,76811599.85,34,0.8558,46.8088,8975203160.71,120,88,73.3
Кабель,44,"ИП ""ТехКомплект-106""",6127484739,C,75969407.49,39,0.8464,47.6552,8975203160.71,120,88,73.3
Кабель,45,"ИП ""ЭлектроМир-26""",3430420654,B,75872876.14,39,0.8454,48.5006,8975203160.71,120,88,73.3
Кабель,46,"ИП ""АльфаСнаб-73""",5550129760,C,75861675.81,40,0.8452,49.3458,8975203160.71,120,88,73.3
Кабель,47,"АО ""МеталлТорг-3 Групп""",9676820827,B,75709720.47,36,0.8435,50.1894,8975203160.71,120,88,73.3
Кабель,48,"ООО ""СибирьОпт-54""",8681026443,A,74089367.50,38,0.8255,51.0149,8975203160.71,120,88,73.3
Кабель,49,"АО ""ВолгаТех-86""",1944444455,C,74087521.32,39,0.8255,51.8403,8975203160.71,120,88,73.3
Кабель,50,"ПАО ""ЭпсилонТех-2 Групп""",1333205446,A,73916640.05,39,0.8236,52.6639,8975203160.71,120,88,73.3
Кабель,51,"ИП ""Севергруз-23""",7661401524,A,73009199.81,40,0.8135,53.4774,8975203160.71,120,88,73.3
Кабель,52,"ПАО ""СибирьОпт-109""",1575720309,B,72256712.12,39,0.8051,54.2824,8975203160.71,120,88,73.3
Кабель,53,"ООО ""ЭлектроМир-110""",9439228389,A,72174806.43,37,0.8042,55.0866,8975203160.71,120,88,73.3
Кабель,54,"АО ""ЭпсилонТех-18""",6168600289,C,71263974.28,40,0.7940,55.8806,8975203160.71,120,88,73.3
Кабель,55,"ИП ""СибирьОпт-103""",4736069149,B,70751307.91,35,0.7883,56.6689,8975203160.71,120,88,73.3
Кабель,56,"ИП ""ПромСнаб-61""",2248071481,C,70537706.20,30,0.7859,57.4548,8975203160.71,120,88,73.3
Кабель,57,"ИП ""БетаТрейд-38""",8757438026,B,70403480.55,36,0.7844,58.2392,8975203160.71,120,88,73.3
Кабель,58,"ООО ""ГидроПром-17""",4885347209,B,69822815.42,34,0.7780,59.0172,8975203160.71,120,88,73.3
Кабель,59,"ООО ""СтанкоСервис-118""",1910495631,A,69644905.39,37,0.7760,59.7931,8975203160.71,120,88,73.3
Кабель,60,"АО ""ВолгаТех-46""",3203403245,C,68692390.94,29,0.7654,60.5585,8975203160.71,120,88,73.3
Кабель,61,"ИП ""СибирьОпт-41""",6345050694,C,68231611.80,34,0.7602,61.3187,8975203160.71,120,88,73.3
Кабель,62,"ИП ""Севергруз-88""",2941331441,C,68036144.35,27,0.7580,62.0768,8975203160.71,120,88,73.3
Кабель,63,"ПАО ""ЭпсилонТех-79""",5889752316,B,67698832.84,38,0.7543,62.8311,8975203160.71,120,88,73.3
Кабель,64,"ПАО ""СтанкоСервис-98""",5150285741,C,67643933.87,43,0.7537,63.5847,8975203160.71,120,88,73.3
Кабель,65,"ИП ""УралДеталь-67""",3838939447,B,67355505.34,33,0.7505,64.3352,8975203160.71,120,88,73.3
Кабель,66,"ИП ""ЭлектроМир-77""",3342574841,B,66601502.37,36,0.7421,65.0773,8975203160.71,120,88,73.3
Кабель,67,"ИП ""СтанкоСервис-114""",6505846279,C,66476862.49,35,0.7407,65.8179,8975203160.71,120,88,73.3
Кабель,68,"ПАО ""ЭлектроМир-57""",7893336702,C,66231683.03,30,0.7379,66.5559,8975203160.71,120,88,73.3
Кабель,69,"АО ""ПромСнаб-62""",6943791863,C,65813552.03,34,0.7333,67.2892,8975203160.71,120,88,73.3
Кабель,70,"АО ""МеталлТорг-70""",2177052301,A,65697495.54,31,0.7320,68.0211,8975203160.71,120,88,73.3
Кабель,71,"ПАО ""СтанкоСервис-113""",9062991254,C,65624394.29,36,0.7312,68.7523,8975203160.71,120,88,73.3
Кабель,72,"ИП ""ГаммаПром-71""",6451166226,A,65364836.90,35,0.7283,69.4806,8975203160.71,120,88,73.3
Кабель,73,"ПАО ""Севергруз-58""",6703117816,B,64569299.53,43,0.7194,70.2000,8975203160.71,120,88,73.3
Кабель,74,"ИП ""АльфаСнаб-19""",6251468548,C,64331846.93,33,0.7168,70.9168,8975203160.71,120,88,73.3
Кабель,75,"ООО ""Севергруз-59""",2876376128,B,64226943.55,32,0.7156,71.6324,8975203160.71,120,88,73.3
Кабель,76,"АО ""ГидроПром-44""",6939000485,C,63467454.63,38,0.7071,72.3395,8975203160.71,120,88,73.3
Кабель,77,"ПАО ""УралДеталь-52""",8347640543,C,63172223.71,32,0.7039,73.0434,8975203160.71,120,88,73.3
Кабель,78,"ИП ""ДельтаЛогистик-9 Групп""",7262793677,A,62564415.92,34,0.6971,73.7405,8975203160.71,120,88,73.3
Кабель,79,"ООО ""СибирьОпт-96""",3940742148,A,62527110.99,31,0.6967,74.4371,8975203160.71,120,88,73.3
Кабель,80,"ООО ""УралДеталь-42""",4305019545,B,62047769.35,34,0.6913,75.1285,8975203160.71,120,88,73.3
Кабель,81,"АО ""ГидроПром-65""",5816509712,A,61764185.65,27,0.6882,75.8166,8975203160.71,120,88,73.3
Кабель,82,"ПАО ""ТехКомплект-94""",5862834378,C,61548702.08,35,0.6858,76.5024,8975203160.71,120,88,73.3
Кабель,83,"ООО ""МеталлТорг-76""",4790839966,A,61119955.35,32,0.6810,77.1834,8975203160.71,120,88,73.3
Кабель,84,"ООО ""МеталлТорг-92""",4707533344,A,61095516.06,35,0.6807,77.8641,8975203160.71,120,88,73.3
Кабель,85,"ПАО ""УралДеталь-112""",9583012527,A,61075986.27,44,0.6805,78.5446,8975203160.71,120,88,73.3
Кабель,86,"ПАО ""АльфаСнаб-89""",2477900690,B,60830748.60,33,0.6778,79.2224,8975203160.71,120,88,73.3
Кабель,87,"ИП ""ТехКомплект-37""",6425784015,A,60778522.63,33,0.6772,79.8995,8975203160.71,120,88,73.3
Кабель,88,"ПАО ""ДельтаЛогистик-7 Групп""",9648479014,B,60725714.73,32,0.6766,80.5761,8975203160.71,120,88,73.3
Кабель,89,"ПАО ""СибирьОпт-24""",6203036487,B,60330340.28,39,0.6722,81.2483,8975203160.71,120,88,73.3
Кабель,90,"ИП ""Севергруз-116""",6916520012,B,60275934.69,44,0.6716,81.9199,8975203160.71,120,88,73.3
Кабель,91,"ПАО ""ВолгаТех-56""",8238363683,C,60242272.07,36,0.6712,82.5911,8975203160.71,120,88,73.3
