golden_supplier_id,supplier_name,inn,reliability_class,has_attr_conflict,year_month,lines_month,otif_month_pct,on_time_month_pct,in_full_month_pct,otif_prev_month_pct,mom_delta_pp,lines_period,otif_period_pct,on_time_period_pct,in_full_period_pct,rank_in_class,suppliers_in_class
104,"ИП ""ГидроПром-104""",1171278872,A,f,202603,31,51.61,54.84,80.65,26.67,24.94,109,49.54,53.21,80.73,8,46
104,"ИП ""ГидроПром-104""",1171278872,A,f,202604,23,65.22,65.22,95.65,51.61,13.61,109,49.54,53.21,80.73,8,46
104,"ИП ""ГидроПром-104""",1171278872,A,f,202605,16,43.75,43.75,81.25,65.22,-21.47,109,49.54,53.21,80.73,8,46
104,"ИП ""ГидроПром-104""",1171278872,A,f,202606,13,46.15,53.85,69.23,43.75,2.40,109,49.54,53.21,80.73,8,46
104,"ИП ""ГидроПром-104""",1171278872,A,f,202607,11,54.55,54.55,72.73,46.15,8.40,109,49.54,53.21,80.73,8,46
9,"ИП ""ДельтаЛогистик-9 Групп""",7262793677,A,f,202602,12,33.33,33.33,66.67,,,83,49.40,56.63,78.31,9,46
9,"ИП ""ДельтаЛогистик-9 Групп""",7262793677,A,f,202603,16,37.50,50.00,68.75,33.33,4.17,83,49.40,56.63,78.31,9,46
9,"ИП ""ДельтаЛогистик-9 Групп""",7262793677,A,f,202604,15,60.00,66.67,86.67,37.50,22.50,83,49.40,56.63,78.31,9,46
9,"ИП ""ДельтаЛогистик-9 Групп""",7262793677,A,f,202605,10,50.00,50.00,80.00,60.00,-10.00,83,49.40,56.63,78.31,9,46
9,"ИП ""ДельтаЛогистик-9 Групп""",7262793677,A,f,202606,13,61.54,76.92,84.62,50.00,11.54,83,49.40,56.63,78.31,9,46
9,"ИП ""ДельтаЛогистик-9 Групп""",7262793677,A,f,202607,17,52.94,58.82,82.35,61.54,-8.60,83,49.40,56.63,78.31,9,46
117,"ООО ""БетаТрейд-117""",6534526717,A,f,202602,5,40.00,40.00,80.00,,,73,49.32,54.79,79.45,10,46
117,"ООО ""БетаТрейд-117""",6534526717,A,f,202603,7,57.14,57.14,85.71,40.00,17.14,73,49.32,54.79,79.45,10,46
117,"ООО ""БетаТрейд-117""",6534526717,A,f,202604,18,44.44,50.00,94.44,57.14,-12.70,73,49.32,54.79,79.45,10,46
117,"ООО ""БетаТрейд-117""",6534526717,A,f,202605,20,55.00,55.00,70.00,44.44,10.56,73,49.32,54.79,79.45,10,46
117,"ООО ""БетаТрейд-117""",6534526717,A,f,202606,12,41.67,50.00,75.00,55.00,-13.33,73,49.32,54.79,79.45,10,46
117,"ООО ""БетаТрейд-117""",6534526717,A,f,202607,11,54.55,72.73,72.73,41.67,12.88,73,49.32,54.79,79.45,10,46
40,"ИП ""УралДеталь-40""",6947562940,A,f,202602,9,44.44,44.44,100.00,,,58,48.28,50.00,89.66,11,46
40,"ИП ""УралДеталь-40""",6947562940,A,f,202603,7,100.00,100.00,100.00,44.44,55.56,58,48.28,50.00,89.66,11,46
40,"ИП ""УралДеталь-40""",6947562940,A,f,202604,13,46.15,46.15,92.31,100.00,-53.85,58,48.28,50.00,89.66,11,46
40,"ИП ""УралДеталь-40""",6947562940,A,f,202605,6,16.67,16.67,100.00,46.15,-29.48,58,48.28,50.00,89.66,11,46
40,"ИП ""УралДеталь-40""",6947562940,A,f,202606,14,35.71,42.86,71.43,16.67,19.04,58,48.28,50.00,89.66,11,46
40,"ИП ""УралДеталь-40""",6947562940,A,f,202607,9,55.56,55.56,88.89,35.71,19.85,58,48.28,50.00,89.66,11,46
16,"ПАО ""ЭпсилонТех-16""",3879955568,A,f,202602,16,31.25,50.00,75.00,,,69,47.83,57.97,79.71,12,46
16,"ПАО ""ЭпсилонТех-16""",3879955568,A,f,202603,14,21.43,35.71,64.29,31.25,-9.82,69,47.83,57.97,79.71,12,46
16,"ПАО ""ЭпсилонТех-16""",3879955568,A,f,202604,5,60.00,60.00,100.00,21.43,38.57,69,47.83,57.97,79.71,12,46
16,"ПАО ""ЭпсилонТех-16""",3879955568,A,f,202605,7,71.43,71.43,85.71,60.00,11.43,69,47.83,57.97,79.71,12,46
16,"ПАО ""ЭпсилонТех-16""",3879955568,A,f,202606,15,60.00,60.00,93.33,71.43,-11.43,69,47.83,57.97,79.71,12,46
16,"ПАО ""ЭпсилонТех-16""",3879955568,A,f,202607,12,66.67,83.33,75.00,60.00,6.67,69,47.83,57.97,79.71,12,46
71,"ИП ""ГаммаПром-71""",6451166226,A,f,202602,9,44.44,55.56,77.78,,,46,47.83,54.35,78.26,12,46
71,"ИП ""ГаммаПром-71""",6451166226,A,f,202603,8,50.00,50.00,87.50,44.44,5.56,46,47.83,54.35,78.26,12,46
71,"ИП ""ГаммаПром-71""",6451166226,A,f,202604,9,44.44,55.56,88.89,50.00,-5.56,46,47.83,54.35,78.26,12,46
71,"ИП ""ГаммаПром-71""",6451166226,A,f,202605,9,55.56,55.56,88.89,44.44,11.12,46,47.83,54.35,78.26,12,46
71,"ИП ""ГаммаПром-71""",6451166226,A,f,202606,4,75.00,75.00,75.00,55.56,19.44,46,47.83,54.35,78.26,12,46
71,"ИП ""ГаммаПром-71""",6451166226,A,f,202607,7,28.57,42.86,42.86,75.00,-46.43,46,47.83,54.35,78.26,12,46
92,"ООО ""МеталлТорг-92""",4707533344,A,f,202602,9,33.33,55.56,44.44,,,46,47.83,54.35,73.91,12,46
92,"ООО ""МеталлТорг-92""",4707533344,A,f,202603,8,25.00,37.50,75.00,33.33,-8.33,46,47.83,54.35,73.91,12,46
92,"ООО ""МеталлТорг-92""",4707533344,A,f,202604,6,66.67,66.67,83.33,25.00,41.67,46,47.83,54.35,73.91,12,46
92,"ООО ""МеталлТорг-92""",4707533344,A,f,202605,7,57.14,57.14,71.43,66.67,-9.53,46,47.83,54.35,73.91,12,46
92,"ООО ""МеталлТорг-92""",4707533344,A,f,202606,8,75.00,75.00,100.00,57.14,17.86,46,47.83,54.35,73.91,12,46
92,"ООО ""МеталлТорг-92""",4707533344,A,f,202607,8,37.50,37.50,75.00,75.00,-37.50,46,47.83,54.35,73.91,12,46
29,"ООО ""ЭпсилонТех-29""",1164438269,A,f,202602,22,31.82,54.55,63.64,,,134,47.76,55.97,78.36,15,46
29,"ООО ""ЭпсилонТех-29""",1164438269,A,f,202603,20,45.00,45.00,85.00,31.82,13.18,134,47.76,55.97,78.36,15,46
29,"ООО ""ЭпсилонТех-29""",1164438269,A,f,202604,22,77.27,77.27,90.91,45.00,32.27,134,47.76,55.97,78.36,15,46
29,"ООО ""ЭпсилонТех-29""",1164438269,A,f,202605,10,50.00,70.00,70.00,77.27,-27.27,134,47.76,55.97,78.36,15,46
29,"ООО ""ЭпсилонТех-29""",1164438269,A,f,202606,27,48.15,55.56,88.89,50.00,-1.85,134,47.76,55.97,78.36,15,46
29,"ООО ""ЭпсилонТех-29""",1164438269,A,f,202607,33,39.39,45.45,69.70,48.15,-8.76,134,47.76,55.97,78.36,15,46
66,"АО ""ВолгаТех-66""",5944124879,A,f,202602,10,90.00,90.00,100.00,,,95,47.37,61.05,71.58,16,46
66,"АО ""ВолгаТех-66""",5944124879,A,f,202603,16,37.50,62.50,62.50,90.00,-52.50,95,47.37,61.05,71.58,16,46
66,"АО ""ВолгаТех-66""",5944124879,A,f,202604,14,42.86,50.00,71.43,37.50,5.36,95,47.37,61.05,71.58,16,46
66,"АО ""ВолгаТех-66""",5944124879,A,f,202605,14,50.00,64.29,78.57,42.86,7.14,95,47.37,61.05,71.58,16,46
66,"АО ""ВолгаТех-66""",5944124879,A,f,202606,20,45.00,60.00,65.00,50.00,-5.00,95,47.37,61.05,71.58,16,46
66,"АО ""ВолгаТех-66""",5944124879,A,f,202607,21,38.10,52.38,66.67,45.00,-6.90,95,47.37,61.05,71.58,16,46
11,"ООО ""ПромСнаб-11 Групп""",1268657293,A,f,202602,17,52.94,58.82,82.35,,,83,46.99,53.01,83.13,17,46
11,"ООО ""ПромСнаб-11 Групп""",1268657293,A,f,202603,13,46.15,53.85,76.92,52.94,-6.79,83,46.99,53.01,83.13,17,46
11,"ООО ""ПромСнаб-11 Групп""",1268657293,A,f,202604,10,20.00,30.00,90.00,46.15,-26.15,83,46.99,53.01,83.13,17,46
11,"ООО ""ПромСнаб-11 Групп""",1268657293,A,f,202605,13,53.85,61.54,84.62,20.00,33.85,83,46.99,53.01,83.13,17,46
11,"ООО ""ПромСнаб-11 Групп""",1268657293,A,f,202606,13,38.46,38.46,84.62,53.85,-15.39,83,46.99,53.01,83.13,17,46
11,"ООО ""ПромСнаб-11 Групп""",1268657293,A,f,202607,17,58.82,64.71,82.35,38.46,20.36,83,46.99,53.01,83.13,17,46
119,"ИП ""СтанкоСервис-119""",8333128511,A,f,202602,18,44.44,50.00,83.33,,,83,46.99,51.81,87.95,17,46
119,"ИП ""СтанкоСервис-119""",8333128511,A,f,202603,15,20.00,26.67,93.33,44.44,-24.44,83,46.99,51.81,87.95,17,46
119,"ИП ""СтанкоСервис-119""",8333128511,A,f,202604,11,36.36,45.45,72.73,20.00,16.36,83,46.99,51.81,87.95,17,46
119,"ИП ""СтанкоСервис-119""",8333128511,A,f,202605,14,64.29,64.29,100.00,36.36,27.93,83,46.99,51.81,87.95,17,46
119,"ИП ""СтанкоСервис-119""",8333128511,A,f,202606,11,63.64,72.73,81.82,64.29,-0.65,83,46.99,51.81,87.95,17,46
119,"ИП ""СтанкоСервис-119""",8333128511,A,f,202607,14,57.14,57.14,92.86,63.64,-6.50,83,46.99,51.81,87.95,17,46
120,"ИП ""Севергруз-120""",6226202468,A,f,202602,5,20.00,40.00,80.00,,,66,46.97,53.03,87.88,19,46
120,"ИП ""Севергруз-120""",6226202468,A,f,202603,6,50.00,50.00,100.00,20.00,30.00,66,46.97,53.03,87.88,19,46
120,"ИП ""Севергруз-120""",6226202468,A,f,202604,18,50.00,50.00,100.00,50.00,0.00,66,46.97,53.03,87.88,19,46
120,"ИП ""Севергруз-120""",6226202468,A,f,202605,7,100.00,100.00,100.00,50.00,50.00,66,46.97,53.03,87.88,19,46
120,"ИП ""Севергруз-120""",6226202468,A,f,202606,15,33.33,53.33,60.00,100.00,-66.67,66,46.97,53.03,87.88,19,46
120,"ИП ""Севергруз-120""",6226202468,A,f,202607,15,40.00,40.00,93.33,33.33,6.67,66,46.97,53.03,87.88,19,46
23,"ИП ""Севергруз-23""",7661401524,A,f,202602,7,42.86,42.86,100.00,,,67,46.27,49.25,82.09,20,46
23,"ИП ""Севергруз-23""",7661401524,A,f,202603,1,100.00,100.00,100.00,42.86,57.14,67,46.27,49.25,82.09,20,46
23,"ИП ""Севергруз-23""",7661401524,A,f,202604,8,62.50,62.50,100.00,100.00,-37.50,67,46.27,49.25,82.09,20,46
23,"ИП ""Севергруз-23""",7661401524,A,f,202605,30,36.67,40.00,76.67,62.50,-25.83,67,46.27,49.25,82.09,20,46
23,"ИП ""Севергруз-23""",7661401524,A,f,202606,9,33.33,44.44,66.67,36.67,-3.34,67,46.27,49.25,82.09,20,46
23,"ИП ""Севергруз-23""",7661401524,A,f,202607,12,66.67,66.67,83.33,33.33,33.34,67,46.27,49.25,82.09,20,46
10,"ПАО ""ГидроПром-10 Групп""",4025236040,A,f,202602,11,18.18,45.45,45.45,,,63,46.03,55.56,69.84,21,46
10,"ПАО ""ГидроПром-10 Групп""",4025236040,A,f,202603,8,50.00,50.00,75.00,18.18,31.82,63,46.03,55.56,69.84,21,46
10,"ПАО ""ГидроПром-10 Групп""",4025236040,A,f,202604,5,60.00,60.00,80.00,50.00,10.00,63,46.03,55.56,69.84,21,46
10,"ПАО ""ГидроПром-10 Групп""",4025236040,A,f,202605,12,50.00,58.33,75.00,60.00,-10.00,63,46.03,55.56,69.84,21,46
10,"ПАО ""ГидроПром-10 Групп""",4025236040,A,f,202606,15,46.67,53.33,80.00,50.00,-3.33,63,46.03,55.56,69.84,21,46
10,"ПАО ""ГидроПром-10 Групп""",4025236040,A,f,202607,12,58.33,66.67,66.67,46.67,11.66,63,46.03,55.56,69.84,21,46
107,"ПАО ""БетаТрейд-107""",5096320205,A,f,202602,23,47.83,47.83,91.30,,,110,45.45,49.09,80.91,22,46
107,"ПАО ""БетаТрейд-107""",5096320205,A,f,202603,16,37.50,43.75,75.00,47.83,-10.33,110,45.45,49.09,80.91,22,46
107,"ПАО ""БетаТрейд-107""",5096320205,A,f,202604,14,35.71,35.71,78.57,37.50,-1.79,110,45.45,49.09,80.91,22,46
107,"ПАО ""БетаТрейд-107""",5096320205,A,f,202605,20,55.00,55.00,95.00,35.71,19.29,110,45.45,49.09,80.91,22,46
107,"ПАО ""БетаТрейд-107""",5096320205,A,f,202606,22,36.36,45.45,68.18,55.00,-18.64,110,45.45,49.09,80.91,22,46
107,"ПАО ""БетаТрейд-107""",5096320205,A,f,202607,15,60.00,66.67,73.33,36.36,23.64,110,45.45,49.09,80.91,22,46
5,"ИП ""Севергруз-5 Групп""",9354187804,A,f,202602,16,37.50,37.50,87.50,,,97,45.36,50.52,84.54,23,46
5,"ИП ""Севергруз-5 Групп""",9354187804,A,f,202603,12,50.00,66.67,83.33,37.50,12.50,97,45.36,50.52,84.54,23,46
5,"ИП ""Севергруз-5 Групп""",9354187804,A,f,202604,14,64.29,64.29,92.86,50.00,14.29,97,45.36,50.52,84.54,23,46
5,"ИП ""Севергруз-5 Групп""",9354187804,A,f,202605,13,38.46,53.85,84.62,64.29,-25.83,97,45.36,50.52,84.54,23,46
5,"ИП ""Севергруз-5 Групп""",9354187804,A,f,202606,15,40.00,46.67,86.67,38.46,1.54,97,45.36,50.52,84.54,23,46
5,"ИП ""Севергруз-5 Групп""",9354187804,A,f,202607,27,44.44,44.44,77.78,40.00,4.44,97,45.36,50.52,84.54,23,46
110,"ООО ""ЭлектроМир-110""",9439228389,A,f,202602,6,16.67,16.67,100.00,,,87,44.83,51.72,79.31,24,46
110,"ООО ""ЭлектроМир-110""",9439228389,A,f,202603,8,50.00,62.50,87.50,16.67,33.33,87,44.83,51.72,79.31,24,46
110,"ООО ""ЭлектроМир-110""",9439228389,A,f,202604,22,45.45,54.55,68.18,50.00,-4.55,87,44.83,51.72,79.31,24,46
110,"ООО ""ЭлектроМир-110""",9439228389,A,f,202605,22,50.00,59.09,86.36,45.45,4.55,87,44.83,51.72,79.31,24,46
110,"ООО ""ЭлектроМир-110""",9439228389,A,f,202606,15,60.00,66.67,80.00,50.00,10.00,87,44.83,51.72,79.31,24,46
110,"ООО ""ЭлектроМир-110""",9439228389,A,f,202607,14,28.57,28.57,71.43,60.00,-31.43,87,44.83,51.72,79.31,24,46
34,"АО ""СтанкоСервис-34""",7614642252,A,f,202602,13,38.46,38.46,69.23,,,70,44.29,50.00,80.00,25,46
34,"АО ""СтанкоСервис-34""",7614642252,A,f,202603,8,62.50,62.50,100.00,38.46,24.04,70,44.29,50.00,80.00,25,46
34,"АО ""СтанкоСервис-34""",7614642252,A,f,202604,12,50.00,58.33,83.33,62.50,-12.50,70,44.29,50.00,80.00,25,46
34,"АО ""СтанкоСервис-34""",7614642252,A,f,202605,8,50.00,50.00,75.00,50.00,0.00,70,44.29,50.00,80.00,25,46
34,"АО ""СтанкоСервис-34""",7614642252,A,f,202606,11,27.27,27.27,81.82,50.00,-22.73,70,44.29,50.00,80.00,25,46
34,"АО ""СтанкоСервис-34""",7614642252,A,f,202607,18,44.44,61.11,77.78,27.27,17.17,70,44.29,50.00,80.00,25,46
76,"ООО ""МеталлТорг-76""",4790839966,A,f,202602,15,40.00,53.33,66.67,,,67,43.28,50.75,77.61,26,46
76,"ООО ""МеталлТорг-76""",4790839966,A,f,202603,17,64.71,70.59,94.12,40.00,24.71,67,43.28,50.75,77.61,26,46
76,"ООО ""МеталлТорг-76""",4790839966,A,f,202604,16,12.50,18.75,75.00,64.71,-52.21,67,43.28,50.75,77.61,26,46
76,"ООО ""МеталлТорг-76""",4790839966,A,f,202605,6,66.67,66.67,66.67,12.50,54.17,67,43.28,50.75,77.61,26,46
76,"ООО ""МеталлТорг-76""",4790839966,A,f,202606,4,25.00,25.00,75.00,66.67,-41.67,67,43.28,50.75,77.61,26,46
76,"ООО ""МеталлТорг-76""",4790839966,A,f,202607,9,55.56,66.67,77.78,25.00,30.56,67,43.28,50.75,77.61,26,46
37,"ИП ""ТехКомплект-37""",6425784015,A,f,202602,14,21.43,35.71,71.43,,,77,42.86,50.65,77.92,27,46
37,"ИП ""ТехКомплект-37""",6425784015,A,f,202603,11,36.36,45.45,90.91,21.43,14.93,77,42.86,50.65,77.92,27,46
37,"ИП ""ТехКомплект-37""",6425784015,A,f,202604,11,54.55,63.64,63.64,36.36,18.19,77,42.86,50.65,77.92,27,46
37,"ИП ""ТехКомплект-37""",6425784015,A,f,202605,18,50.00,55.56,77.78,54.55,-4.55,77,42.86,50.65,77.92,27,46
37,"ИП ""ТехКомплект-37""",6425784015,A,f,202606,11,54.55,63.64,81.82,50.00,4.55,77,42.86,50.65,77.92,27,46
37,"ИП ""ТехКомплект-37""",6425784015,A,f,202607,12,41.67,41.67,83.33,54.55,-12.88,77,42.86,50.65,77.92,27,46
90,"ООО ""БетаТрейд-90""",3281751713,A,f,202602,16,31.25,31.25,75.00,,,82,42.68,47.56,84.15,28,46
90,"ООО ""БетаТрейд-90""",3281751713,A,f,202603,12,50.00,50.00,100.00,31.25,18.75,82,42.68,47.56,84.15,28,46
90,"ООО ""БетаТрейд-90""",3281751713,A,f,202604,16,25.00,31.25,81.25,50.00,-25.00,82,42.68,47.56,84.15,28,46
90,"ООО ""БетаТрейд-90""",3281751713,A,f,202605,14,57.14,71.43,78.57,25.00,32.14,82,42.68,47.56,84.15,28,46
90,"ООО ""БетаТрейд-90""",3281751713,A,f,202606,9,55.56,66.67,88.89,57.14,-1.58,82,42.68,47.56,84.15,28,46
90,"ООО ""БетаТрейд-90""",3281751713,A,f,202607,15,46.67,46.67,86.67,55.56,-8.89,82,42.68,47.56,84.15,28,46
87,"ООО ""СтанкоСервис-87""",9370180664,A,f,202602,11,45.45,45.45,90.91,,,85,42.35,48.24,80.00,29,46
87,"ООО ""СтанкоСервис-87""",9370180664,A,f,202603,14,50.00,57.14,71.43,45.45,4.55,85,42.35,48.24,80.00,29,46
87,"ООО ""СтанкоСервис-87""",9370180664,A,f,202604,17,29.41,41.18,82.35,50.00,-20.59,85,42.35,48.24,80.00,29,46
87,"ООО ""СтанкоСервис-87""",9370180664,A,f,202605,17,41.18,47.06,70.59,29.41,11.77,85,42.35,48.24,80.00,29,46
87,"ООО ""СтанкоСервис-87""",9370180664,A,f,202606,19,52.63,52.63,84.21,41.18,11.45,85,42.35,48.24,80.00,29,46
87,"ООО ""СтанкоСервис-87""",9370180664,A,f,202607,7,28.57,42.86,85.71,52.63,-24.06,85,42.35,48.24,80.00,29,46
112,"ПАО ""УралДеталь-112""",9583012527,A,f,202602,13,53.85,53.85,76.92,,,85,42.35,49.41,76.47,29,46
112,"ПАО ""УралДеталь-112""",9583012527,A,f,202603,17,41.18,52.94,76.47,53.85,-12.67,85,42.35,49.41,76.47,29,46
112,"ПАО ""УралДеталь-112""",9583012527,A,f,202604,16,18.75,25.00,56.25,41.18,-22.43,85,42.35,49.41,76.47,29,46
112,"ПАО ""УралДеталь-112""",9583012527,A,f,202605,8,50.00,75.00,62.50,18.75,31.25,85,42.35,49.41,76.47,29,46
112,"ПАО ""УралДеталь-112""",9583012527,A,f,202606,18,44.44,50.00,83.33,50.00,-5.56,85,42.35,49.41,76.47,29,46
112,"ПАО ""УралДеталь-112""",9583012527,A,f,202607,13,53.85,53.85,100.00,44.44,9.41,85,42.35,49.41,76.47,29,46
111,"ООО ""СибирьОпт-111""",7497322282,A,f,202602,16,50.00,62.50,87.50,,,93,41.94,45.16,77.42,31,46
111,"ООО ""СибирьОпт-111""",7497322282,A,f,202603,14,42.86,42.86,78.57,50.00,-7.14,93,41.94,45.16,77.42,31,46
111,"ООО ""СибирьОпт-111""",7497322282,A,f,202604,16,12.50,18.75,50.00,42.86,-30.36,93,41.94,45.16,77.42,31,46
111,"ООО ""СибирьОпт-111""",7497322282,A,f,202605,17,64.71,64.71,82.35,12.50,52.21,93,41.94,45.16,77.42,31,46
111,"ООО ""СибирьОпт-111""",7497322282,A,f,202606,8,37.50,37.50,87.50,64.71,-27.21,93,41.94,45.16,77.42,31,46
111,"ООО ""СибирьОпт-111""",7497322282,A,f,202607,22,40.91,40.91,81.82,37.50,3.41,93,41.94,45.16,77.42,31,46
32,"ПАО ""Севергруз-32""",4848744976,A,f,202602,15,60.00,66.67,86.67,,,77,41.56,48.05,83.12,32,46
32,"ПАО ""Севергруз-32""",4848744976,A,f,202603,20,35.00,40.00,85.00,60.00,-25.00,77,41.56,48.05,83.12,32,46
32,"ПАО ""Севергруз-32""",4848744976,A,f,202604,14,35.71,50.00,64.29,35.00,0.71,77,41.56,48.05,83.12,32,46
32,"ПАО ""Севергруз-32""",4848744976,A,f,202605,10,30.00,40.00,80.00,35.71,-5.71,77,41.56,48.05,83.12,32,46
32,"ПАО ""Севергруз-32""",4848744976,A,f,202606,10,50.00,50.00,90.00,30.00,20.00,77,41.56,48.05,83.12,32,46
32,"ПАО ""Севергруз-32""",4848744976,A,f,202607,8,37.50,37.50,100.00,50.00,-12.50,77,41.56,48.05,83.12,32,46
108,"ИП ""УралДеталь-108""",7199635800,A,f,202602,22,45.45,50.00,81.82,,,82,41.46,50.00,79.27,33,46
